 X450VC-MB-R20        FABMASTER (R)          licence #5039 TEST RESEARCH INC, 

 Test Fixture Nails    1311/1464 Selected Drills           25-Feb-2013 8:59
                       1311 Nails, 1633 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via

$1         4.930     5.015   1  2C   (T)  #26   GND              V VIA .
$1         7.780     6.180   1  1C   (T)  #26   GND              V VIA .
$1         0.785     4.340   1  4C   (T)  #26   GND              V VIA .
$1         2.815     1.978   1  3B   (T)  #26   GND              V PIN PT8403.1
$1         4.525     7.620   1  3D   (T)  #26   GND              V PIN PT6007.1
$2         6.620     3.555   1  2B   (T)  #531  +1.5VO           V VIA .
$3         1.980     3.434   1  4B   (T)  #15   +12VSUS          V PIN PT8107.1
$4         7.388     0.308   1  1A   (T)  #504  GND_BD1          V VIA .
$5         7.348     0.374   2  1A   (T)  #771  N20487160        V VIA .
$6         7.292     0.233   1  1A   (T)  #502  BD_PWR_SW#       V VIA .
$7         7.067     0.294   2  1A   (T)  #770  N21605978        V VIA .
$8         7.016     0.340   2  1A   (T)  #505  +5VSUS_BD1       V VIA .
$9         5.115     0.310   1  2A   (T)  #767  +5V_IO_USB       V VIA .
$10        4.855     0.390   1  2A   (T)  #513  +5V_IO           V VIA .
$11        4.778     0.400   2  2A   (T)  #572  IO_USB_U3-_CON   V VIA .
$12        2.965     0.318   1  3A   (T)  #1466 N36000486        V VIA .
$13        2.815     0.166   1  3A   (T)  #180  N23766352        V VIA .
$14        2.720     0.177   1  3A   (T)  #1544 N36000469        V VIA .
$15        2.515     0.360   1  4A   (T)  #371  PECI_EC          V VIA .
$16        2.345     0.330   3  4A   (T)  #122  ME_AC_PRESENT    V VIA .
$17        2.290     0.360   3  4A   (T)  #141  ME_SUSPWRDNACK_EC V PIN T3001.1
$18        2.218     0.420   3  4A   (T)  #375  SI_EC            V VIA .
$19        2.220     0.330   2  4A   (T)  #1611 USB30_5VBUS      V PIN T3023.1
$20        2.150     0.325   2  4A   (T)  #376  SCE#_EC          V VIA .
$21        2.081     0.309   2  4A   (T)  #134  SPI_SI           V VIA .
$22        2.040     0.365   2  4A   (T)  #132  SPI_SO           V VIA .
$23        1.625     0.306   1  4A   (T)  #1464 N36000213        V VIA .
$24        1.560     0.175   1  4A   (T)  #1541 N36000180        V VIA .
$25        1.500     0.306   1  4A   (T)  #177  SATA_LED#        V VIA .
$26        1.395     0.290   2  4A   (T)  #485  CHG_LED#         V VIA .
$27        1.399     0.215   2  4A   (T)  #178  N23757718        V VIA .
$28        1.282     0.255   1  4A   (T)  #484  CHG_FULL_LED#    V VIA .
$29        1.228     0.177   1  4A   (T)  #1542 N36000234        V VIA .
$30        1.197     0.250   2  4A   (T)  #1468 N36000340        V VIA .
$31        1.030     0.335   1  4A   (T)  #1545 N36000324        V VIA .
$32        0.609     0.151   1  4A   (T)  #1451 N71450978        V VIA .
$33        0.460     0.055   1  5A   (T)  #452  N71450980        V VIA .
$34        0.478     0.265   1  4A   (T)  #50   A_MIC1_L_L       V VIA .
$35        0.370     0.450   2  5A   (T)  #48   A_MIC1_R_L       V VIA .
$36        0.444     0.438   2  5A   (T)  #49   HP_L_R           V VIA .
$37        0.600     0.485   1  4A   (T)  #47   HP_R_R           V VIA .
$38        0.700     0.485   2  4A   (T)  #372  HP_R             V VIA .
$39        0.735     0.553   2  4A   (T)  #45   EX_MIC_IN_AC     V VIA .
$40        0.750     0.665   1  4A   (T)  #1628 INTMIC_P_R       V VIA .
$41        0.910     0.850   1  4A   (T)  #1630 PC_BEEP          V PIN T3603.1
$42        0.900     0.760   2  4A   (T)  #1627 INTMIC_N_L       V VIA .
$43        0.900     0.690   2  4A   (T)  #1629 N23694762        V PIN T3604.1
$44        0.900     0.620   2  4A   (T)  #1530 MIC_IN_AC_E_L    V VIA .
$45        0.835     0.520   2  4A   (T)  #1531 MIC_IN_AC_E_R    V VIA .
$46        0.884     0.467   2  4A   (T)  #449  GND_AUDIO        V VIA .
$47        1.009     0.560   1  4A   (T)  #963  VREF_CODEC       V VIA .
$48        1.065     0.470   1  4A   (T)  #1532 MIC1_VREFOUT_R   V VIA .
$49        1.100     0.549   2  4A   (T)  #373  HP_L             V VIA .
$50        1.170     0.545   2  4A   (T)  #1529 N23694697        V VIA .
$51        1.278     0.730   1  4A   (T)  #961  +5VS_AMP         V VIA .
$52        1.265     0.905   2  4A   (T)  #1631 N23694825        V PIN T3602.1
$53        1.019     0.895   1  4A   (T)  #416  ACZ_SDIN0_AUD_R  V VIA .
$54        0.895     1.000   1  4A   (T)  #1384 N38891749        V VIA .
$55        0.758     1.366   1  4A   (T)  #570  USB_U1+_CON      V VIA .
$56        0.980     1.088   1  4A   (T)  #160  ACZ_BCLK_AUD_R   V VIA .
$57        1.095     1.142   1  4A   (T)  #1535 N38891769        V VIA .
$58        1.340     0.915   2  4A   (T)  #1626 N23694254        V PIN T3601.1
$59        1.361     1.042   1  4A   (T)  #1426 USB_PP1          V VIA .
$60        1.543     1.084   1  4A   (T)  #1424 USB_PN0          V VIA .
$61        1.620     1.135   1  4A   (T)  #438  OC#0_USB         V VIA .
$62        1.626     1.265   1  4A   (T)  #156  SD-DATA3         V VIA .
$63        1.523     1.330   1  4A   (T)  #154  SDCMD            V VIA .
$64        1.298     1.405   2  4A   (T)  #1503 U3_U3RXDN1_PCH   V VIA .
