 3.1        Tebo-ICT,  license #willjames

 Test Fixture Nails     1172/1172  Selected Drills           13-November-2015 08:56
                        1172 Nails,  2148 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via

$1        -1.7696   3.1765   1  B1   (B)  #4    GND                V VIA .
$1        -1.5526   -0.5505  1  B3   (B)  #4    GND                V VIA .
$1        -1.5656   3.1515   1  B1   (B)  #4    GND                V VIA .
$1        -1.7876   -0.4695  1  B3   (B)  #4    GND                V VIA .
$1        -2.7035   3.0235   1  A1   (B)  #4    GND                V VIA .
$2        -4.8986   3.5215   1  A1   (B)  #5    +V_DCJACK          V VIA .
$3        -4.8326   3.1595   2  A1   (B)  #44   +1_2VSO            V VIA .
$4        -4.7615   3.1955   1  A1   (B)  #104  P_1_2VS_FB_10      V VIA .
$5        -4.5846   3.1715   1  A1   (B)  #667  P_1_2VS_RCEN_10    V VIA .
$6        -4.4795   3.3295   1  A1   (B)  #673  L_TRLP0            V VIA .
$7        -4.4246   3.2735   2  A1   (B)  #684  L_CMT0             V VIA .
$8        -4.4006   3.3425   2  A1   (B)  #683  L_CMT1             V VIA .
$9        -4.2786   3.3675   1  A1   (B)  #682  L_CMT2             V VIA .
$10       -4.1998   3.3282   2  A1   (B)  #678  L_TRLM2            V VIA .
$11       -4.2257   3.2373   1  A1   (B)  #1021 GND_LAN_T          V VIA .
$12       -4.1546   3.2755   2  A1   (B)  #681  L_CMT3             V VIA .
$13       -4.0888   3.3287   1  A1   (B)  #680  L_TRLM3            V VIA .
$14       -3.8125   3.4815   1  A1   (B)  #299  LAN_GND            V VIA .
$15       -3.5105   3.4275   2  A1   (B)  #298  +3VSUS_LAN         V VIA .
$16       -3.4597   3.3253   1  A1   (B)  #686  L_TRDM0            V VIA .
$17       -3.4306   3.4265   1  A1   (B)  #270  N19882415          V VIA .
$18       -3.4166   3.7595   1  A1   (B)  #665  DDC_DATA_CON       V VIA .
$19       -3.3365   3.7085   1  A1   (B)  #331  +5VS_HDMI_CRT      V VIA .
$20       -3.0936   3.8325   1  A1   (B)  #349  +5VS               V VIA .
$21       -2.9346   3.8085   1  A1   (B)  #332  +5VS_CRT_CON       V VIA .
$22       -3.0381   3.6340   2  A1   (B)  #1075 +5VS_CRT           V VIA .
$23       -3.1096   3.6155   2  A1   (B)  #178  CRT_HSYNC_PCH      V VIA .
$24       -3.1886   3.4135   1  A1   (B)  #292  +1_05V_LAN_C       V VIA .
$25       -3.2256   3.2645   1  A1   (B)  #293  VDD_REG            V VIA .
$26       -3.1696   3.1885   2  A1   (B)  #296  PCIE_RXP3_GLAN     V VIA .
$27       -3.2976   3.1365   1  A1   (B)  #279  PCIE_TXN3_GLAN     V VIA .
$28       -3.1976   3.1095   1  A1   (B)  #773  CLK_PCIE_GLAN      V VIA .
$29       -3.1155   2.9928   1  A1   (B)  #958  PCIE_WAKE_         V VIA .
$30       -3.1595   2.8375   2  A1   (B)  #1218 I2C1_SDA_TCH_PNL   V VIA .
$31       -3.2386   2.8055   1  A1   (B)  #1217 I2C1_SCL_TCH_PNL   V VIA .
$32       -3.1555   2.3805   1  A1   (B)  #583  M_B_A12            V VIA .
$33       -3.2441   2.3520   1  A1   (B)  #577  M_B_A11            V VIA .
$34       -3.3516   2.5465   1  A1   (B)  #1094 AC_BAT_SYS_R       V VIA .
$35       -3.3636   2.6685   1  A1   (B)  #781  USB_PN4_C          V VIA .
$36       -3.5985   2.7495   1  A1   (B)  #2    +LED_VCC_INV_EN    V VIA .
$37       -3.7336   2.8755   1  A1   (B)  #1    AC_BAT_SYS         V VIA .
$38       -3.8596   2.5795   2  A1   (B)  #1216 DIGON              V VIA .
$39       -3.9076   2.6415   1  A1   (B)  #1214 N25705937          V VIA .
$40       -4.0426   2.6765   1  A1   (B)  #325  +3V_EDP_LVDS       V VIA .
$41       -4.2396   2.6855   1  A1   (B)  #19   +3VS               V VIA .
$42       -4.1456   2.7775   1  A1   (B)  #553  N25705923          V VIA .
$43       -4.2405   3.0935   1  A1   (B)  #397  LAN_VDDCT          V VIA .
$44       -4.5126   2.9355   1  A1   (B)  #43   P_1_2VS_IN_S       V VIA .
$45       -4.5855   2.8195   2  A1   (B)  #1161 TEST_EN            V VIA .
$46       -4.6326   2.7555   1  A1   (B)  #313  EDP_TX0_DN         V VIA .
$47       -4.7615   2.9385   2  A1   (B)  #1067 LCD_BACKOFF_       V VIA .
$48       -4.8106   2.9865   2  A1   (B)  #18   +1_2VS             V VIA .
$49       -5.1996   2.8375   1  A1   (B)  #1074 LID_SW_            V VIA .
$50       -5.1116   2.7905   1  A1   (B)  #367  PWR_SW_            V VIA .
$51       -4.7976   2.7325   1  A1   (B)  #398  AVDD12             V VIA .
$52       -4.8365   2.6225   1  A1   (B)  #59   R_BIAS             V VIA .
$53       -4.8845   2.5485   1  A1   (B)  #1240 EDP_HPD_R          V VIA .
$54       -4.7665   2.4635   1  A1   (B)  #1219 N17299291          V VIA .
$55       -4.8666   2.3985   1  A1   (B)  #1220 N17299294          V VIA .
$56       -4.9831   2.2910   1  A2   (B)  #657  SATA_LED_          V VIA .
$57       -5.1270   2.1060   2  A2   (B)  #695  N21277187          V VIA .
$58       -5.0485   2.1125   1  A2   (B)  #694  N21277200          V VIA .
$59       -4.7295   2.3575   1  A1   (B)  #735  N21277208          V VIA .
$60       -4.6246   2.2825   2  A2   (B)  #1403 PROG_SDA           V VIA .
$61       -4.6075   2.3485   2  A1   (B)  #1404 PROG_SCL           V VIA .
$62       -4.4925   2.3215   1  A1   (B)  #1241 LVDS_BL_EN         V VIA .
$63       -3.7405   2.1525   1  A2   (B)  #1014 TPANEL_INT__C      V VIA .
$64       -3.7565   2.2585   1  A2   (B)  #616  +3VS_TOUCH         V VIA .
$65       -3.7670   2.3690   1  A1   (B)  #133  PORTC_MIC_L        V VIA .
$66       -3.6386   2.4325   1  A1   (B)  #326  +3VS_CAM           V VIA .
$67       -3.5385   2.3295   1  A1   (B)  #783  USB_PP4_C          V VIA .
$68       -3.5576   2.1815   1  A2   (B)  #1015 USB_PN6_C          V VIA .
$69       -3.6366   2.0665   1  A2   (B)  #327  BL_EN_C            V VIA .
$70       -3.5015   1.7855   1  A2   (B)  #129  M_A_VREFCA         V VIA .
$71       -3.1835   1.9225   1  A2   (B)  #591  M_B_CKE0           V VIA .
$72       -3.1405   1.8389   2  A2   (B)  #900  M_A_DQ2            V VIA .
$73       -3.1405   1.7792   3  A2   (B)  #911  M_A_DQ5            V VIA .
$74       -3.2235   1.5145   1  A2   (B)  #125  M_A_VREFDQ         V VIA .
$75       -3.1005   1.6449   3  A2   (B)  #866  M_A_DQ0            V VIA .
$76       -3.1005   1.7021   3  A2   (B)  #867  M_A_DQ1            V VIA .
$77       -3.0685   1.7702   3  A2   (B)  #938  M_A_DQS0           V VIA .
$78       -3.0685   1.8202   3  A2   (B)  #930  M_A_DQS_0          V VIA .
$79       -3.0180   1.8329   3  A2   (B)  #922  M_A_DQ6            V VIA .
$80       -3.0180   1.7789   3  A2   (B)  #927  M_A_DQ7            V VIA .
$81       -3.0180   1.7249   3  A2   (B)  #878  M_A_DQ3            V VIA .
$82       -3.0180   1.6709   3  A2   (B)  #889  M_A_DQ4            V VIA .
$83       -2.9160   1.6392   3  A2   (B)  #928  M_A_DQ8            V VIA .
$84       -2.9160   1.6932   3  A2   (B)  #929  M_A_DQ13           V VIA .
$85       -2.9160   1.7885   3  A2   (B)  #871  M_A_DQ9            V VIA .
$86       -2.9160   1.8425   3  A2   (B)  #870  M_A_DQ12           V VIA .
$87       -2.8514   1.7142   3  A2   (B)  #939  M_A_DQS1           V VIA .
$88       -2.8514   1.6642   3  A2   (B)  #931  M_A_DQS_1          V VIA .
$89       -2.7938   1.6678   3  A2   (B)  #868  M_A_DQ10           V VIA .
$90       -2.7938   1.7218   3  A2   (B)  #869  M_A_DQ11           V VIA .
$91       -2.7968   1.7729   3  A2   (B)  #873  M_A_DQ15           V VIA .
$92       -2.7968   1.8289   3  A2   (B)  #872  M_A_DQ14           V VIA .
$93       -2.7167   1.8319   2  A2   (B)  #879  M_A_DQ17           V VIA .
$94       -2.7167   1.7689   3  A2   (B)  #880  M_A_DQ16           V VIA .
$95       -2.7167   1.7149   3  A2   (B)  #875  M_A_DQ20           V VIA .
$96       -2.7178   1.6562   2  A2   (B)  #874  M_A_DQ21           V VIA .
$97       -3.1141   1.2840   1  A2   (B)  #1341 DDR_PG_CTRL_R      V VIA .
$98       -3.2285   1.0415   1  A2   (B)  #1342 N26046626          V VIA .
$99       -3.2216   0.8835   2  A2   (B)  #149  +V_VREF_RC2        V VIA .
$100      -3.2965   0.8845   2  A2   (B)  #126  N26219305          V VIA .
$101      -3.6846   0.9745   1  A2   (B)  #76   FBA_CLK1           V VIA .
$102      -3.7005   1.0417   3  A2   (B)  #1168 FBA_CMD19          V VIA .
$103      -3.6946   1.0935   3  A2   (B)  #233  N60103118          V VIA .
$104      -3.8136   1.5005   1  A2   (B)  #24   +1_35VSG           V VIA .
$105      -3.9575   1.3347   1  A2   (B)  #387  FBAVREFQ1          V VIA .
$106      -4.1865   1.4177   1  A2   (B)  #386  FBAVREFA1          V VIA .
$107      -4.3136   1.6675   1  A2   (B)  #615  N51793679          V VIA .
$108      -4.5835   1.3755   1  A2   (B)  #385  FBAVREFQ0          V VIA .
$109      -4.2140   1.2302   2  A2   (B)  #1511 FBA_CMD23          V VIA .
$110      -4.2115   1.1577   2  A2   (B)  #1512 FBA_CMD24          V VIA .
$111      -4.2413   1.0577   1  A2   (B)  #1500 FBA_CMD10          V VIA .
$112      -4.2545   0.9277   1  A2   (B)  #1503 FBA_CMD13          V VIA .
$113      -4.2675   0.8327   2  A2   (B)  #1501 FBA_CMD11          V VIA .
$114      -4.2928   0.7627   2  A2   (B)  #1170 FBA_CMD5           V VIA .
$115      -4.8406   0.8795   1  A2   (B)  #384  FBAVREFA0          V VIA .
$116      -4.8465   1.0127   2  A2   (B)  #73   FBA_CLK0_          V VIA .
$117      -4.8445   1.0817   2  A2   (B)  #1167 FBA_CMD2           V VIA .
$118      -4.8545   1.3895   1  A2   (B)  #1288 GPU_THERM_         V VIA .
$119      -4.9425   1.2955   1  A2   (B)  #312  +3V                V VIA .
$120      -5.0346   0.5695   1  A2   (B)  #1188 NB9M_RST_          V VIA .
$121      -5.0995   0.1645   1  A2   (B)  #1113 N78139646          V VIA .
