 3.1        Tebo-ICT,  license #willjames

 Parts List              2080/2080  Selected Parts             13-November-2015 08:56
                                                           INCH units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'

PR6001       -0.3996   -2.4505   90.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR6002       -0.4046   -2.5385   90.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR6004       -4.7645    3.4395  270.0  A1   (T)  'NBS_R1206_H30_000S_B', 'NBS_R1206_H30_000S_B'
PR6005       -4.6795    3.4395  270.0  A1   (T)  'NBS_R1206_H30_000S_B', 'NBS_R1206_H30_000S_B'
PR8000       -1.5945   -0.8155  270.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8001       -1.4306   -0.7925   90.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8005       -1.5845   -1.2255  270.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8006       -1.3896   -0.4105  270.0  B3   (T)  'NBS_R1206_H30_000S_B', 'NBS_R1206_H30_000S_B'
PR8007       -1.5296   -1.1605  270.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8008       -1.6345   -1.2905   90.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8009       -1.4446   -0.9505   90.0  B3   (B)  'NBS_R0603_H39_000S', 'NBS_R0603_H39_000S'
PR8013       -1.4036   -1.3135    0.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8014       -1.3096   -1.1855  270.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8015       -1.7146   -0.8305  270.0  B3   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
PR8016       -1.3796   -0.9805  180.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8017       -1.3645   -1.0405  270.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8018       -1.4995   -1.0685  180.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8019       -1.6345   -1.0305  270.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8020       -1.8245   -0.9105  270.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
