 n6_x550jx        Tebo-ICT,  license #xxxx ,                 User

 Test Fixture Nails     1573/1573  Selected Drills           26-January-2015 11:22
                        1573 Nails,  2540 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via

$1       -1.4103    9.8523   1  A1   (B)  #5    GND              T PIN TB_TP493.1
$1        6.0507    7.2403   1  D2   (B)  #5    GND              T PIN TB_TP483.1
$1        0.1557    5.1003   1  A4   (B)  #5    GND              T PIN PT8117.1
$1        5.3277   10.7023   1  D1   (B)  #5    GND              T PIN TB_TP480.1
$1        2.9607    2.6623   1  C5   (B)  #5    GND              T PIN TB_TP487.1
$2       -0.4793   10.4463   1  A1   (B)  #878  SATA_TXN4        T PIN TB_TP1346.1
$3       -0.4283   10.3503   1  A1   (B)  #876  SATA_RXP4        T PIN TB_TP1519.1
$4       -0.0973   10.5473   1  A1   (B)  #868  SATA_TXN2        T PIN TB_TP1487.1
$5       -0.2133   10.2543   1  A1   (B)  #1265 USB_PN3          T PIN TB_TP1525.1
$6       -0.1143   10.1033   1  A1   (B)  #352  PM_PWROK_PCH     T PIN T2211.1
$7       -0.2173   10.0933   1  A1   (B)  #1496 APWROK_R         T PIN T2215.1
$8       -0.4353   10.0413   1  A1   (B)  #471  ME_AC_PRESENT_PCH T PIN TB_TP431.1
$9       -0.6893    9.8213   1  A1   (B)  #815  +V3_3_VCCSPI     T PIN TB_TP341.1
$10      -0.7683    9.7413   1  A1   (B)  #1499 N19680284        T PIN TB_TP1497.1
$11      -0.7583    9.5563   1  A1   (B)  #1498 N19680343        T PIN TB_TP1479.1
$12      -0.5683    9.6593   3  A1   (B)  #476  PM_SYSPWROK_PCH  T PIN T2216.1
$13      -0.5053    9.6483   2  A1   (B)  #1516 SML1_CLK         T PIN TB_TP1268.1
$14      -0.4273    9.7573   2  A1   (B)  #464  +VCCPDSW         T PIN TB_TP395.1
$15      -0.4443    9.8253   2  A1   (B)  #1590 SLP_A#           T PIN T2206.1
$16      -0.3473    9.8333   2  A1   (B)  #1514 SDA_3A           T PIN TB_TP1084.1
$17      -0.2903    9.7923   2  A1   (B)  #1513 SCL_3A           T PIN TB_TP1169.1
$18      -0.2873    9.7223   2  A1   (B)  #469  PM_RSMRST#_PCH   T PIN T2217.1
$19      -0.4043    9.6043   2  A1   (B)  #1538 CLK_REQ0#        T PIN T2125.1
$20      -0.3323    9.6003   2  A1   (B)  #1382 PCH_SUSACK#      T PIN TB_TP629.1
$21      -0.2533    9.5983   1  A1   (B)  #1380 PM_SUSACK#       T PIN TB_TP416.1
$22      -0.2863    9.5033   2  A1   (B)  #890  N46553370        T PIN TB_TP410.1
$23      -0.2673    9.4423   3  A1   (B)  #466  PM_RI#           T PIN T2202.1
$24      -0.3323    9.4263   1  A1   (B)  #888  N56330597        T PIN TB_TP299.1
$25      -0.4773    9.4493   1  A1   (B)  #1540 CLK_REQ4#        T PIN T2124.1
$26      -0.5283    9.3273   1  A1   (B)  #145  N80618399        T PIN TB_TP972.1
$27      -0.6093    9.3373   2  A1   (B)  #1542 CLK_REQ7#        T PIN T2117.1
$28      -0.6923    9.1603   1  A1   (B)  #1543 CLK_REQ6#        T PIN T2122.1
$29      -0.7333    9.0453   1  A1   (B)  #123  +3VS_VCC3_3      T PIN TB_TP60.1
$30      -0.6583    8.9953   1  A1   (B)  #140  EC_SO_PCH        T PIN T2802.1
$31      -0.6473    9.0753   2  A1   (B)  #1386 EC_SCE#_PCH      T PIN T2801.1
$32      -0.6123    9.1703   2  A1   (B)  #1541 CLK_REQ1#        T PIN T2101.1
$33      -0.5323    9.1483   1  A1   (B)  #390  PCH_JTAG_TCK     T PIN T2008.1
$34      -0.5363    9.0273   2  A1   (B)  #132  SPI_HDIO2_PCH    T PIN TB_TP1185.1
$35      -0.3693    9.0203   1  A1   (B)  #133  HDIO2            T PIN TB_TP1108.1
$36      -0.3823    9.1173   1  A1   (B)  #840  +V3_3S_VCCPCORE  T PIN TB_TP294.1
$37      -0.3053    9.0953   2  A1   (B)  #1223 CLKREQ_WLAN#     T PIN TB_TP853.1
$38      -0.1873    9.0273   1  A1   (B)  #1602 CL_RST#          T PIN T2409.1
$39      -0.1113    9.0573   2  A1   (B)  #1593 PCH_TP21         T PIN T2223.1
$40      -0.1473    9.1173   3  A1   (B)  #1589 SLP_S5#          T PIN T2205.1
$41      -0.1183    9.1753   2  A1   (B)  #1461 CLK_REQ2#        T PIN TB_TP1099.1
$42      -0.0773    9.1223   3  A1   (B)  #1579 TP_PM_TEST_RST#  T PIN T2044.1
$43      -0.0153    9.1533   1  A1   (B)  #1595 PCI_PME#         T PIN T2303.1
$44      -0.0263    9.0633   1  A1   (B)  #1599 SB_SPICS1#       T PIN T2403.1
$45       0.0207    8.9923   2  A1   (B)  #1424 SATA_RCOMP       T PIN TB_TP1445.1
$46       0.0577    9.0413   3  A1   (B)  #496  MFG_MODE         T PIN TB_TP1454.1
$47       0.1257    9.0373   3  A1   (B)  #1588 PCH_TP7          T PIN T2204.1
$48       0.0827    9.0853   3  A1   (B)  #1344 PCH_SPKR         T PIN TB_TP1504.1
$49       0.0767    9.1733   2  A1   (B)  #1601 CL_DAT           T PIN T2408.1
$50       0.1507    9.1573   2  A1   (B)  #1600 CL_CLK           T PIN T2407.1
$51       0.1757    9.0853   2  A1   (B)  #1603 SB_SPICS2#       T PIN T2414.1
$52       0.3067    9.0853   1  A1   (B)  #882  +V1_05S_VCC_EXP  T PIN TB_TP1027.1
$53       0.3657    9.0143   3  A1   (B)  #460  CLK_GND          T PIN TB_TP1481.1
$54       0.4077    9.0453   3  A1   (B)  #459  CLK_GND#         T PIN TB_TP1355.1
$55       0.4007    9.3383   3  A1   (B)  #829  N65735100        T PIN TB_TP289.1
$56       0.3687    9.3883   2  A1   (B)  #826  +3VSUS_VCCPUSB   T PIN TB_TP379.1
$57       0.3277    9.4483   2  A1   (B)  #587  USBRBIAS_PN      T PIN TB_TP1347.1
$58       0.2227    9.4723   3  A1   (B)  #1331 N74696636        T PIN TB_TP396.1
$59       0.1887    9.4133   1  A1   (B)  #504  LAN_PHY_PWR_EN   T PIN T2510.1
$60       0.1177    9.3823   3  A1   (B)  #905  N74162360        T PIN TB_TP279.1
