 n6_x550jx        Tebo-ICT,  license #xxxx ,                 User

 Parts List              2502/2502  Selected Parts             26-January-2015 11:22
                                                           INCH units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'

PR6000        6.1777    8.1673   90.0  D2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR6001        6.2427    8.2223    0.0  D2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR6002        6.2527    8.4323    0.0  D2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR6003        5.0927    6.7523  315.0  D3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR6004        5.1527    6.8373  270.0  D3   (T)  'NBS_R1206_H30_000S', 'NBS_R1206_H30_000S'
PR6005        5.2377    6.8373  270.0  D3   (T)  'NBS_R1206_H30_000S', 'NBS_R1206_H30_000S'
PR8000        4.8177    7.3023  270.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8001        4.7667    7.4163   90.0  D2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8002        4.9177    7.4023  180.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8003        4.8327    7.3623  180.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8004        4.8327    7.4423  180.0  D2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8005        4.1327    7.7323   90.0  C2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8006        3.7827    6.5023    0.0  C3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8007        4.0927    7.2723   90.0  C2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8008        4.9177    7.3623    0.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8009        4.9427    7.3173  180.0  D2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8010        4.9427    7.2173  180.0  D2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8011        4.9427    7.2673  180.0  D2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8012        4.3777    7.8398  180.0  C2   (T)  'NBS_R1206_H30_000S', 'NBS_R1206_H30_000S'
PR8013        4.0227    7.2873  180.0  C2   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
PR8014        3.7677    6.4323   90.0  C3   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
PR8015        4.0877    7.7273   90.0  C2   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
PR8016        5.0327    7.3223  180.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8017        4.0052    7.6473    0.0  C2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8018        4.9077    7.4873  180.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8019        5.0377    7.4473  180.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8020        5.0377    7.4873    0.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8021        4.4377    6.8823  270.0  C3   (T)  'NBS_R1206_H30_000S', 'NBS_R1206_H30_000S'
PR8023        4.7227    7.4273   90.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8025        5.0427    7.6523    0.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8026        4.9877    7.6273  270.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8027        5.0427    7.5273  180.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8028        5.0427    7.5673    0.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8029        4.9977    7.7323  180.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8032        4.2577    6.7123  270.0  C3   (T)  'NBS_R1206_H30_000S', 'NBS_R1206_H30_000S'
PR8033        5.0877    7.7023    0.0  D2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8034        4.7667    7.4163  270.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8035        4.6327    7.7723    0.0  D2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8036        4.9377    7.8273   90.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8037        4.7802    7.8273   90.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8038        4.7002    7.8723  270.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
