MDA Test Program transfer to ATM,  Date:11-12-2009  Time:10:23:11.

Step 1031, change MODE=2, HIGH/LOW nail change, add OFFSET=0.6.
Step 1032, change MODE=2, HIGH/LOW nail change, add OFFSET=0.6.
Step 1033, change MODE=2, add OFFSET=0.6.
Step 1034, change MODE=2, HIGH/LOW nail change, add OFFSET=0.6.
Step 1035, change MODE=2, add OFFSET=0.6.
Step 1036, change MODE=2, add OFFSET=0.6.
Step 1037, change MODE=2, add OFFSET=0.6.
Step 1038, change MODE=2, add OFFSET=0.6.
Step 1039, change MODE=2, add OFFSET=0.6.
Step 1040, change MODE=2, HIGH/LOW nail change, add OFFSET=0.6.
Step 1041, change MODE=2, HIGH/LOW nail change, add OFFSET=0.6.
Step 1042, change MODE=2, HIGH/LOW nail change, add OFFSET=0.6.
Step 1043, change MODE=2, HIGH/LOW nail change, add OFFSET=0.6.
Step 1044, change MODE=2, HIGH/LOW nail change, add OFFSET=0.6.
Step 1045, change MODE=2, HIGH/LOW nail change.
Step 1046, change MODE=2, HIGH/LOW nail change.
Step 1047, change MODE=2.
Step 1048, change MODE=2.
Step 1049, change MODE=2.
Step 1050, change MODE=2.
Step 1051, change MODE=2, HIGH/LOW nail change.
Step 1052, change MODE=2, HIGH/LOW nail change.
Step 1053, change MODE=2.
Step 1054, change MODE=2, HIGH/LOW nail change.
Step 1055, change MODE=2, HIGH/LOW nail change.
Step 1056, change MODE=2, HIGH/LOW nail change.
Step 1057, change MODE=2.
Step 1058, change MODE=2, HIGH/LOW nail change.
Step 1059, change MODE=2.
Step 1060, change MODE=2.
Step 1061, change MODE=2, HIGH/LOW nail change.
Step 1062, change MODE=2.
Step 1063, change MODE=2.
Step 1064, change MODE=2, HIGH/LOW nail change.
Step 1065, change MODE=2, HIGH/LOW nail change.
Step 1066, change MODE=2, HIGH/LOW nail change.
Step 1067, change MODE=2.
Step 1068, change MODE=2.
Step 1069, change MODE=2.
Step 1070, change MODE=2.
Step 1071, change MODE=2, HIGH/LOW nail change.
Step 1072, change MODE=2, HIGH/LOW nail change.
Step 1073, change MODE=2, HIGH/LOW nail change.
Step 1074, change MODE=2, HIGH/LOW nail change.
Step 1075, change MODE=2, HIGH/LOW nail change.
Step 1076, change MODE=2, HIGH/LOW nail change.
Step 1077, change MODE=2.
Step 1078, HIGH/LOW nail change.
Step 1080, HIGH/LOW nail change.
Step 1081, HIGH/LOW nail change.
Step 1082, HIGH/LOW nail change.
Step 1083, HIGH/LOW nail change.
Step 1084, HIGH/LOW nail change.
Step 1085, HIGH/LOW nail change.
Step 1086, HIGH/LOW nail change.
Step 1087, HIGH/LOW nail change.
Step 1088, HIGH/LOW nail change.
Step 1089, HIGH/LOW nail change.
Step 1090, HIGH/LOW nail change.
Step 1091, HIGH/LOW nail change.
Step 1092, HIGH/LOW nail change.
Step 1093, HIGH/LOW nail change.
Step 1094, HIGH/LOW nail change.
Step 1095, HIGH/LOW nail change.
Step 1096, HIGH/LOW nail change.
Step 1097, HIGH/LOW nail change.
Step 1098, HIGH/LOW nail change.
Step 1099, HIGH/LOW nail change.
Step 1100, HIGH/LOW nail change.
Step 1101, HIGH/LOW nail change.
Step 1108, HIGH/LOW nail change.
Step 1109, HIGH/LOW nail change.
Step 1110, HIGH/LOW nail change.
Step 1111, HIGH/LOW nail change.
Step 1112, HIGH/LOW nail change.
Step 1113, HIGH/LOW nail change.
Step 1114, HIGH/LOW nail change.
Step 1115, HIGH/LOW nail change.
Step 1116, HIGH/LOW nail change.
Step 1117, HIGH/LOW nail change.
Step 1118, HIGH/LOW nail change.
Step 1119, HIGH/LOW nail change.
Step 1120, HIGH/LOW nail change.
Step 1121, HIGH/LOW nail change.
Step 1123, HIGH/LOW nail change.
Step 1127, HIGH/LOW nail change.
Step 1128, HIGH/LOW nail change.
Step 1129, HIGH/LOW nail change.
Step 1131, HIGH/LOW nail change.
Step 1132, HIGH/LOW nail change.
Step 1139, HIGH/LOW nail change.
Step 1140, HIGH/LOW nail change.
Step 1142, HIGH/LOW nail change.
Step 1143, HIGH/LOW nail change.
Step 1144, HIGH/LOW nail change.
Step 1145, HIGH/LOW nail change.
Step 1146, HIGH/LOW nail change.
Step 1147, HIGH/LOW nail change.
Step 1148, HIGH/LOW nail change.
Step 1149, HIGH/LOW nail change.
Step 1150, HIGH/LOW nail change.
Step 1160, HIGH/LOW nail change.
Step 1184, HIGH/LOW nail change.
Step 1185, HIGH/LOW nail change.
Step 1187, HIGH/LOW nail change.
Step 1188, HIGH/LOW nail change.
Step 1190, HIGH/LOW nail change.
Step 1192, HIGH/LOW nail change.
Step 1193, HIGH/LOW nail change.
Step 1194, HIGH/LOW nail change.
Step 1197, HIGH/LOW nail change.
Step 1198, HIGH/LOW nail change.
Step 1199, HIGH/LOW nail change.
Step 1201, HIGH/LOW nail change.
Step 1202, HIGH/LOW nail change.
Step 1204, HIGH/LOW nail change.
Step 1205, HIGH/LOW nail change.
Step 1206, HIGH/LOW nail change.
Step 1207, HIGH/LOW nail change.
Step 1209, HIGH/LOW nail change.
Step 1210, HIGH/LOW nail change.
Step 1212, HIGH/LOW nail change.
Step 1213, HIGH/LOW nail change.
Step 1215, HIGH/LOW nail change.
Step 1220, HIGH/LOW nail change.
Step 1222, HIGH/LOW nail change.
Step 1223, HIGH/LOW nail change.
Step 1224, HIGH/LOW nail change.
Step 1226, HIGH/LOW nail change.
Step 1228, HIGH/LOW nail change.
Step 1231, HIGH/LOW nail change.
Step 1234, HIGH/LOW nail change.
Step 1235, HIGH/LOW nail change.
Step 1236, HIGH/LOW nail change.
Step 1238, HIGH/LOW nail change.
Step 1240, HIGH/LOW nail change.
Step 1241, HIGH/LOW nail change.
Step 1242, HIGH/LOW nail change.
Step 1243, HIGH/LOW nail change.
Step 1244, HIGH/LOW nail change.
Step 1245, HIGH/LOW nail change.
Step 1246, HIGH/LOW nail change.
Step 1247, HIGH/LOW nail change.
Step 1248, HIGH/LOW nail change.
Step 1252, HIGH/LOW nail change.
Step 1253, HIGH/LOW nail change.
Step 1254, HIGH/LOW nail change.
Step 1255, HIGH/LOW nail change.
Step 1256, HIGH/LOW nail change.
Step 1257, HIGH/LOW nail change.
Step 1258, HIGH/LOW nail change.
Step 1259, HIGH/LOW nail change.
Step 1260, HIGH/LOW nail change.
Step 1261, HIGH/LOW nail change.
Step 1262, HIGH/LOW nail change.
Step 1263, HIGH/LOW nail change.
Step 1265, HIGH/LOW nail change.
Step 1266, HIGH/LOW nail change.
Step 1267, HIGH/LOW nail change.
Step 1280, HIGH/LOW nail change.
Step 1281, HIGH/LOW nail change.
Step 1282, HIGH/LOW nail change.
Step 1283, HIGH/LOW nail change.
Step 1284, HIGH/LOW nail change.
Step 1285, HIGH/LOW nail change.
Step 1290, HIGH/LOW nail change.
Step 1292, HIGH/LOW nail change.
Step 1295, HIGH/LOW nail change.
Step 1296, HIGH/LOW nail change.
Step 1298, HIGH/LOW nail change.
Step 1301, HIGH/LOW nail change.
Step 1303, HIGH/LOW nail change.
Step 1307, HIGH/LOW nail change.
Step 1308, HIGH/LOW nail change.
Step 1309, HIGH/LOW nail change.
Step 1310, HIGH/LOW nail change.
Step 1311, HIGH/LOW nail change.
Step 1312, HIGH/LOW nail change.
Step 1313, HIGH/LOW nail change.
Step 1314, HIGH/LOW nail change.
Step 1317, HIGH/LOW nail change.
Step 1318, HIGH/LOW nail change.
