 K52JR-R20        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Board Outline Contour             INCH units               3-Nov-2009 18:12

 User Datum  X  2.317,  Y  3.595,  Rotation - 90.0

      X           Y         Radius

   -3.636      -2.880       0.000
   -3.646      -2.879       0.000
   -3.656      -2.875       0.000
   -3.664      -2.868       0.000
   -3.670      -2.860       0.000
   -3.674      -2.851       0.000
   -3.676      -2.841       0.000
   -3.676      -2.841       0.000
   -3.676      -0.405       0.000
   -3.677      -0.395       0.000
   -3.681      -0.385       0.000
   -3.687      -0.377       0.000
   -3.695      -0.371       0.000
   -3.705      -0.367       0.000
   -3.715      -0.366       0.000
   -3.766      -0.366       0.000
   -3.766       0.618       0.000
   -3.715       0.618       0.000
   -3.715       0.618       0.000
   -3.705       0.619       0.000
   -3.695       0.623       0.000
   -3.687       0.630       0.000
   -3.681       0.638       0.000
   -3.677       0.647       0.000
   -3.676       0.657       0.000
   -3.676       2.841       0.000
   -3.674       2.851       0.000
   -3.670       2.860       0.000
   -3.664       2.868       0.000
   -3.656       2.875       0.000
   -3.646       2.879       0.000
   -3.636       2.880       0.000
    3.727       2.880       0.000
    3.737       2.879       0.000
    3.747       2.875       0.000
    3.755       2.868       0.000
    3.761       2.860       0.000
    3.765       2.851       0.000
    3.766       2.841       0.000
    3.766      -1.663       0.000
    3.765      -1.674       0.000
    3.761      -1.683       0.000
    3.755      -1.691       0.000
    3.747      -1.697       0.000
    3.737      -1.701       0.000
    3.727      -1.703       0.000
    3.727      -1.703       0.000
    3.595      -1.703       0.000
    3.590      -1.702       0.000
    3.585      -1.700       0.000
    3.581      -1.697       0.000
    3.578      -1.693       0.000
    3.576      -1.688       0.000
    3.575      -1.683       0.000
    3.575      -1.683       0.000
    3.575      -1.656       0.000
    3.574      -1.644       0.000
    3.569      -1.633       0.000
    3.562      -1.624       0.000
    3.553      -1.616       0.000
    3.542      -1.612       0.000
    3.530      -1.610       0.000
    3.518      -1.612       0.000
    3.507      -1.616       0.000
    3.498      -1.624       0.000
    3.491      -1.633       0.000
    3.486      -1.644       0.000
    3.485      -1.656       0.000
    3.485      -1.841       0.000
    3.485      -1.841       0.000
    3.486      -1.852       0.000
    3.491      -1.863       0.000
    3.498      -1.873       0.000
    3.507      -1.880       0.000
    3.518      -1.884       0.000
    3.530      -1.886       0.000
    3.542      -1.884       0.000
    3.553      -1.880       0.000
    3.562      -1.873       0.000
    3.569      -1.863       0.000
    3.574      -1.852       0.000
    3.575      -1.841       0.000
    3.575      -1.813       0.000
    3.576      -1.808       0.000
    3.578      -1.803       0.000
    3.581      -1.799       0.000
    3.585      -1.796       0.000
    3.590      -1.794       0.000
    3.595      -1.793       0.000
    3.727      -1.793       0.000
    3.737      -1.795       0.000
    3.747      -1.799       0.000
    3.755      -1.805       0.000
    3.761      -1.813       0.000
    3.765      -1.822       0.000
    3.766      -1.833       0.000
    3.766      -2.240       0.000
    3.765      -2.250       0.000
    3.761      -2.260       0.000
    3.755      -2.268       0.000
    3.747      -2.274       0.000
    3.737      -2.278       0.000
    3.727      -2.280       0.000
    3.727      -2.280       0.000
    3.491      -2.280       0.000
    3.481      -2.281       0.000
    3.471      -2.285       0.000
    3.463      -2.291       0.000
    3.457      -2.299       0.000
    3.453      -2.309       0.000
    3.451      -2.319       0.000
    3.451      -2.841       0.000
    3.450      -2.851       0.000
    3.446      -2.860       0.000
    3.440      -2.868       0.000
    3.432      -2.875       0.000
    3.422      -2.879       0.000
    3.412      -2.880       0.000
    3.412      -2.880       0.000
    1.636      -2.880       0.000
    1.626      -2.879       0.000
    1.617      -2.875       0.000
    1.609      -2.868       0.000
    1.602      -2.860       0.000
    1.596      -2.852       0.000
    1.588      -2.846       0.000
    1.578      -2.842       0.000
    1.568      -2.841       0.000
    0.701      -2.841       0.000
    0.690      -2.842       0.000
    0.681      -2.846       0.000
    0.673      -2.852       0.000
    0.667      -2.860       0.000
    0.660      -2.868       0.000
    0.652      -2.875       0.000
    0.643      -2.879       0.000
    0.632      -2.880       0.000
   -3.636      -2.880       0.000

