 K52JR-R20        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails    1702/1536 Selected Drills           3-Nov-2009 18:16
                       1702 Nails, 1809 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via

$1        1.6450    2.1169   2  B6   (B)  #113  GND                V VIA .
$1        1.4500    1.6469   2  B5   (B)  #113  GND                V PIN T8701.1
$1        1.4500    1.5769   2  B5   (B)  #113  GND                V PIN T8704.1
$1        -3.4650   0.9079   1  C1   (T)  #113  GND                V PIN T9213.1
$1        -3.5900   0.7869   2  C1   (T)  #113  GND                V PIN T9214.1
$1        -2.7300   1.0519   2  C1   (T)  #113  GND                V PIN T9215.1
$1        -3.5900   0.7169   2  C1   (T)  #113  GND                V PIN T9216.1
$1        2.1450    -1.4031  1  E6   (T)  #113  GND                V PIN T8020.1
$1        2.1400    -1.5231  1  E6   (T)  #113  GND                V PIN T8021.1
$1        1.9000    -1.8431  1  E6   (B)  #113  GND                V PIN T8022.1
$1        1.9000    -2.0781  1  E6   (B)  #113  GND                V PIN T8023.1
$1        1.9300    0.0719   2  C6   (T)  #113  GND                V PIN T8110.1
$1        2.6650    0.2019   2  C6   (T)  #113  GND                V PIN T8111.1
$1        3.2000    0.2069   1  C7   (T)  #113  GND                V PIN T8112.1
$1        2.1500    -0.7731  1  D6   (T)  #113  GND                V PIN T8113.1
$1        1.2350    -0.7981  1  D5   (B)  #113  GND                V PIN T8205.1
$1        2.1150    -0.5681  1  D6   (T)  #113  GND                V PIN T8211.1
$1        2.0950    -0.6931  1  D6   (T)  #113  GND                V PIN T8212.1
$1        -0.2350   -2.5251  1  F4   (T)  #113  GND                V PIN T8307.1
$1        1.9100    -1.4031  1  E6   (B)  #113  GND                V PIN T8308.1
$1        -0.2650   -2.7381  1  F4   (T)  #113  GND                V PIN T8309.1
$1        1.9100    -1.3031  1  E6   (B)  #113  GND                V PIN T8310.1
$1        2.1650    -1.9231  1  E6   (T)  #113  GND                V PIN T8403.1
$1        2.0600    -2.3981  1  F6   (T)  #113  GND                V PIN T8404.1
$1        1.9350    0.0019   2  C6   (T)  #113  GND                V PIN T8506.1
$1        1.8550    0.0069   1  C6   (T)  #113  GND                V PIN T8507.1
$1        2.0000    0.0369   2  C6   (T)  #113  GND                V PIN T8508.1
$1        1.9600    0.1369   2  C6   (T)  #113  GND                V PIN T8509.1
$1        1.7200    -1.6631  1  E6   (B)  #113  GND                V PIN T8606.1
$1        1.8000    -1.1581  1  E6   (B)  #113  GND                V PIN T8607.1
$1        1.6550    -1.1581  1  E6   (B)  #113  GND                V PIN T8608.1
$1        1.8200    -1.6631  1  E6   (B)  #113  GND                V PIN T8609.1
$1        1.7650    0.0869   2  C6   (B)  #113  GND                V PIN T8828.1
$1        1.7650    0.0119   2  C6   (B)  #113  GND                V PIN T8829.1
$1        1.7470    0.1639   2  C6   (B)  #113  GND                V PIN T8830.1
$1        -2.8100   1.0269   1  C1   (T)  #113  GND                V PIN T8831.1
$1        -2.7300   0.9819   2  C1   (T)  #113  GND                V PIN T8832.1
$2        -3.3650   0.3569   2  C1   (T)  #204  BAT_CON            V PIN T9209.1
$2        -3.5500   0.6619   2  C1   (B)  #204  BAT_CON            V PIN T9210.1
$2        -3.5500   0.7319   2  C1   (B)  #204  BAT_CON            V PIN T9211.1
$2        -3.2900   0.3569   2  C1   (T)  #204  BAT_CON            V PIN T9212.1
$3        -3.3000   0.4769   2  C1   (B)  #205  BAT                V PIN T8814.1
$3        -3.2150   0.6769   1  C1   (B)  #205  BAT                V PIN T8815.1
$3        -3.3000   0.6669   2  C1   (B)  #205  BAT                V PIN T8816.1
$3        -3.2000   0.5769   1  C1   (B)  #205  BAT                V PIN T8817.1
$3        -3.3000   0.5819   1  C1   (B)  #205  BAT                V PIN T8818.1
$3        -3.3000   0.3919   1  C1   (B)  #205  BAT                V PIN T8819.1
$4        -3.1550   1.0119   1  C1   (B)  #1159 AC_BAT_SYS         V PIN T8802.1
$4        -3.1800   1.1169   1  C1   (B)  #1159 AC_BAT_SYS         V PIN T8803.1
$4        -3.3700   1.0469   2  C1   (B)  #1159 AC_BAT_SYS         V PIN T8804.1
$4        -3.2450   1.0469   1  C1   (B)  #1159 AC_BAT_SYS         V PIN T8805.1
$4        -3.2600   1.1369   2  B1   (B)  #1159 AC_BAT_SYS         V PIN T8806.1
$4        -3.3250   1.1069   2  C1   (B)  #1159 AC_BAT_SYS         V PIN T8807.1
$5        -3.2800   1.7019   2  B1   (T)  #277  A/D_DOCK_IN        V PIN T8808.1
$5        -3.4800   1.7019   2  B1   (T)  #277  A/D_DOCK_IN        V PIN T8809.1
$5        -3.4150   1.8019   2  B1   (T)  #277  A/D_DOCK_IN        V PIN T8810.1
$5        -3.3550   1.7019   2  B1   (T)  #277  A/D_DOCK_IN        V PIN T8811.1
$5        -3.5900   1.8119   1  B1   (T)  #277  A/D_DOCK_IN        V PIN T8812.1
$5        -3.4800   1.7719   2  B1   (T)  #277  A/D_DOCK_IN        V PIN T8813.1
$6        0.2380    -2.5031  1  F4   (T)  #201  +VGFX_CORE_VO      V PIN T8602.1
$6        0.2400    -2.5981  1  F4   (T)  #201  +VGFX_CORE_VO      V PIN T8603.1
$6        0.2400    -2.7531  1  F4   (T)  #201  +VGFX_CORE_VO      V PIN T8610.1
$7        1.1650    0.3319   1  C5   (T)  #594  +VGA_VCORE         V PIN T8501.1
$7        1.2850    0.4069   1  C5   (T)  #594  +VGA_VCORE         V PIN T8504.1
$7        1.1650    0.2319   1  C5   (T)  #594  +VGA_VCORE         V PIN T8505.1
$8        1.4350    -1.6731  2  E5   (T)  #1093 +VCORE             V PIN T8001.1
$8        1.3650    -1.6981  2  E5   (T)  #1093 +VCORE             V PIN T8002.1
$8        0.7280    -1.0731  1  D5   (B)  #1093 +VCORE             V PIN T8003.1
$8        1.5150    -1.6781  1  E5   (T)  #1093 +VCORE             V PIN T8004.1
$9        2.9410    -0.7011  1  D7   (B)  #240  +5VS               V VIA .
$10       2.6550    -0.8931  1  D6   (B)  #669  +3VAO              V PIN T8106.1
$11       -2.4350   1.7919   1  B2   (B)  #798  +0.75VS            V PIN T8306.1
$12       2.8050    -0.9681  2  D7   (B)  #278  +3VA               V PIN T8107.1
$13       2.4900    2.2769   2  A6   (B)  #9    +3VACC             V VIA .
$14       1.4800    -2.7281  2  F5   (B)  #279  +3V                V VIA .
$33       -3.5100   2.7319   1  A1   (B)  #187  LVDS_L0N           V VIA .
$34       -3.4150   2.7669   2  A1   (B)  #1232 BL_EN              V VIA .
$35       -3.3900   2.7019   2  A1   (B)  #181  LVDS_L1P           V VIA .
$36       -3.3540   2.6389   2  A1   (B)  #182  BL_EN_CON          V VIA .
$37       -3.2850   2.3739   1  A1   (B)  #197  LVDS_L1N           V VIA .
$38       -3.2050   2.3869   2  A1   (B)  #970  LVDS_L1N_PCH       V VIA .
$39       -3.1300   2.6969   1  A1   (B)  #190  LVDS_LCLKP         V VIA .
$40       -3.1400   2.7969   1  A1   (B)  #34   LCD_BACKOFF#       V VIA .
$41       -3.0000   2.6869   1  A1   (B)  #183  LCD_BKLTCTL        V VIA .
$42       -2.9465   2.5874   1  A1   (B)  #944  LCD_PWM_VGA_S      V VIA .
$43       -2.8900   2.4424   1  A1   (B)  #954  LVDS_EDID_DAT_C    V VIA .
$44       -2.7800   2.5919   1  A1   (B)  #88   LCD_BL_PWM         V VIA .
$45       -2.7700   2.6719   2  A1   (B)  #966  LCD_BACKEN         V VIA .
$46       -2.6400   2.4319   1  A2   (B)  #605  LVDS_L1N_GPU       V VIA .
$47       -2.6350   2.3469   2  A2   (B)  #608  LVDS_L2P_GPU       V VIA .
$48       -2.5910   2.2219   1  B2   (B)  #1131 P_0V75_REFIN_10    V VIA .
$49       -2.7150   2.0769   1  B1   (B)  #1197 P_0V75_VIN_20      V VIA .
$50       -2.9100   2.0149   2  B1   (B)  #973  LVDS_L2P_PCH       V VIA .
$51       -2.9810   2.0149   2  B1   (B)  #974  LVDS_L2N_PCH       V VIA .
$52       -3.1350   2.0199   2  B1   (B)  #968  LVDS_L0P_PCH       V VIA .
$53       -3.2050   2.0199   2  B1   (B)  #969  LVDS_L0N_PCH       V VIA .
$54       -3.1550   1.8969   1  B1   (B)  #967  N33528250          V VIA .
$55       -3.1320   1.5149   2  B1   (B)  #1120 P_CHG_COMP1_R_10   V VIA .
$56       -3.2700   1.3719   1  B1   (B)  #1158 P_CHG_PATH_19V_SHAPE V VIA.
$57       -3.2050   1.2169   2  B1   (B)  #1121 P_CHG_CSSN_10      V VIA .
$58       -3.1620   1.2719   2  B1   (B)  #1122 P_CHG_CSSP_10      V VIA .
$59       -3.1350   1.3969   1  B1   (B)  #1138 P_CHG_-INE3_R_10   V VIA .
$60       -3.0300   1.3569   2  B1   (B)  #1507 P_CHG_ACIN_10      V VIA .
$61       -3.0060   1.4369   1  B1   (B)  #1495 P_CHG_TOTALPWR_10  V VIA .
$62       -3.0050   1.5169   2  B1   (B)  #1376 P_CHG_COMP1_10     V VIA .
$63       -3.0700   1.5569   2  B1   (B)  #1087 SGND_CHG           V VIA .
$64       -2.9150   1.6379   1  B1   (B)  #1089 P_CHG_ISET_10      V VIA .
$65       -2.7850   1.6969   1  B1   (B)  #1572 USB_PN9            V VIA .
$66       -2.7300   1.6269   1  B1   (B)  #1169 P_CHG_COMP3_C_10   V VIA .
$67       -2.8150   1.6219   2  B1   (B)  #1172 P_CHG_OUTC3_10     V VIA .
$68       -2.8260   1.5129   2  B1   (B)  #1508 P_CHG_COMP2_10     V VIA .
$69       -2.7590   1.4969   2  B1   (B)  #1119 P_CHG_COMP3_10     V VIA .
$70       -2.6350   1.5019   2  B2   (B)  #1552 P_CHG_ADJ3_10      V VIA .
$71       -2.6850   1.4519   2  B2   (B)  #1086 P_CHG_CS           V VIA .
$72       -2.7150   1.3609   2  B1   (B)  #1551 P_CHG_RT           V VIA .
$73       -2.7200   1.2869   2  B1   (B)  #1609 P_CHG_ENBLE#       V VIA .
$74       -2.7130   1.0859   1  C1   (B)  #1323 P_CELLS_SEL        V VIA .
$75       -2.7670   1.1749   1  B1   (B)  #1317 P_CHG_CELLS        V VIA .
$76       -2.8600   1.1789   1  B1   (B)  #1199 P_CHG_VB_20        V VIA .
$77       -2.9490   1.2069   2  B1   (B)  #1529 P_CHG_CB_20        V VIA .
$78       -3.0180   1.2119   2  B1   (B)  #1610 P_CHG_CTL2         V VIA .
$79       -2.9400   1.0169   1  C1   (B)  #1156 P_CHG_BST_20       V VIA .
$80       -2.9650   0.2869   1  C1   (B)  #1325 N43963869          V VIA .
