 N750JV-R21        FABMASTER (R)          licence #5039 TEST RESEARCH INC, 

 Test Fixture Nails    1551/1665 Selected Drills           24-Jun-2013 16:48
                       1551 Nails, 2125 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via

$1         9.165    -0.478   2  B4   (T)  #88   GND              V PIN PT6012.1
$1         8.873    -0.423   1  B4   (T)  #88   GND              V PIN PT6014.1
$1         6.478     3.990   1  D1   (T)  #88   GND              V PIN PT8112.1
$1         3.745     0.223   1  E4   (T)  #88   GND              V PIN PT8205.1
$1         3.355     0.885   1  F3   (T)  #88   GND              V PIN PT8206.1
$2         3.995     3.050   1  E2   (T)  #298  +1.05VS          V VIA .
$3         1.898     4.205   1  F1   (T)  #1396 +12VSUS          V VIA .
$3         7.533     4.195   1  C1   (T)  #1396 +12VSUS          V PIN PT8107.1
$4         1.070     1.033   1  G3   (T)  #123  +5VSUS           V VIA .
$4         7.450     4.070   1  C1   (T)  #123  +5VSUS           V PIN PT8103.1
$5         1.010     1.733   1  G3   (T)  #169  +5V              V VIA .
$6         6.280     4.710   1  D1   (T)  #196  +3V              V VIA .
$7        11.480    -0.645   1  A4   (T)  #136  LED_CTR_KB#_IO4  V VIA .
$8        11.448    -0.533   1  A4   (T)  #135  +5V_KBLED_IO4    V VIA .
$9        11.525    -0.179   2  A4   (T)  #162  SATA_LED#_C_IO4  V VIA .
$10       11.535    -0.108   2  A4   (T)  #129  +5VSUS_IO4       V VIA .
$11       11.560     0.000   2  A4   (T)  #134  +5VS_TPCON_IO4   V VIA .
$20       11.355     0.465   2  A3   (T)  #153  KSO5_IO4         V VIA .
$21       11.415     0.505   2  A3   (T)  #150  KSI0_IO4         V VIA .
$22       11.390     0.580   2  A3   (T)  #152  KSO13_IO4        V VIA .
$23       11.310     0.645   1  A3   (T)  #155  KSO4_IO4         V VIA .
$24       11.220     0.650   2  A3   (T)  #157  KSO6_IO4         V VIA .
$25       11.140     0.625   1  A3   (T)  #159  KSO10_IO4        V VIA .
$26       10.995     0.645   1  A3   (T)  #167  GND_IO4          V VIA .
$27       11.062     0.695   2  A3   (T)  #161  KSO14_IO4        V VIA .
$28       11.030     0.775   1  A3   (T)  #163  KSO15_IO4        V VIA .
$29       11.105     0.755   2  A3   (T)  #160  KSO12_IO4        V VIA .
$30       11.180     0.735   2  A3   (T)  #158  KSO11_IO4        V VIA .
$31       11.260     0.725   1  A3   (T)  #156  KSO8_IO4         V VIA .
$32       11.345     0.790   1  A3   (T)  #154  KSO2_IO4         V VIA .
$33       11.450     0.695   2  A3   (T)  #149  KSI3_IO4         V VIA .
$34       11.495     0.625   1  A3   (T)  #148  KSO1_IO4         V VIA .
$35       11.580     0.595   2  A3   (T)  #146  KSI4_IO4         V VIA .
$36       11.550     0.710   2  A3   (T)  #147  KSI2_IO4         V VIA .
$37       11.610     0.665   2  A3   (T)  #145  KSO3_IO4         V VIA .
$38       11.675     0.700   2  A3   (T)  #144  KSI5_IO4         V VIA .
$39       11.675     0.620   2  A3   (T)  #143  KSI6_IO4         V VIA .
$40       11.695     0.545   2  A3   (T)  #142  KSO9_IO4         V VIA .
$41       11.741     0.600   2  A3   (T)  #141  KSI7_IO4         V VIA .
$42       11.810     0.585   2  A3   (T)  #137  KSO7_IO4         V VIA .
$43       11.770     0.670   2  A3   (T)  #139  KSI1_IO4         V VIA .
$44       11.825     0.755   1  A3   (T)  #138  KSO0_IO4         V VIA .
$45       11.705     1.350   3  A3   (T)  #423  WOOFER_PIN6      V VIA .
$46       11.710     1.410   3  A3   (T)  #422  J6204_PIN2       V VIA .
$47       11.655     1.650   3  A3   (T)  #420  WOOFER_PIN4      V VIA .
$48       11.600     1.654   3  A3   (T)  #424  J6204_PIN5       V VIA .
$49       11.585     1.780   1  A3   (T)  #896  INTSPKL+_WOOFE_FUSE V VIA .
$50       11.815     2.605   1  A2   (T)  #386  GND_IO2          V VIA .
$51       11.890     3.025   1  A2   (T)  #960  U5515_4          V VIA .
$52       11.720     3.060   1  A2   (T)  #959  AMP_SHD#_IO2     V VIA .
$53       11.600     3.050   1  A2   (T)  #388  PLIMIT_WOOFE     V VIA .
$54       11.620     2.960   1  A2   (T)  #912  +5VS_IO2         V VIA .
$55       11.495     2.950   1  A2   (T)  #389  EXT_WOOFER_IN_1  V VIA .
$56       11.325     3.885   1  A1   (T)  #1818 RF_DEV_ON        V VIA .
$57       11.145     3.913   1  A1   (T)  #75   WLAN_RST#        V VIA .
$58       11.053     4.025   3  A1   (T)  #1815 SMB_CLK_S_WLAN   V VIA .
$59       11.035     4.073   3  A1   (T)  #1816 SMB_DAT_S_WLAN   V VIA .
$60       11.120     4.263   1  A1   (T)  #1644 +1.5VS_WLAN      V VIA .
$61       12.212     4.500   1  A1   (T)  #1019 GND_EXT_WOOFER   V VIA .
$62       10.843     4.323   1  A1   (T)  #786  BT_ON/OFF#       V VIA .
$63       10.780     4.393   1  A1   (T)  #1813 WLAN_PIN51       V VIA .
$64        9.738     4.388   1  B1   (T)  #1785 +RTC_BAT         V VIA .
$65        9.710     4.278   1  B1   (T)  #1277 +RTCBAT          V VIA .
$66        9.868     4.175   1  B1   (T)  #301  +VCC_RTC         V VIA .
$67       10.698     3.985   1  A1   (T)  #785  +3VAUX_WLAN      V VIA .
$68       10.788     3.903   1  A1   (T)  #1812 WLAN_PIN19       V VIA .
$69       10.908     3.583   1  A2   (T)  #1393 BT_ON            V VIA .
$70       10.838     3.458   1  A2   (T)  #1817 N20373918        V VIA .
$71       10.758     3.493   2  A2   (T)  #1814 WLAN_PIN5        V VIA .
$72       10.697     3.526   2  A2   (T)  #1406 N125014147       V VIA .
$73       10.602     3.363   1  A2   (T)  #1405 N125014169       V VIA .
$74       10.435     1.855   1  B3   (T)  #807  +5VS_FAN1        V VIA .
$75        9.485     1.275   1  B3   (T)  #1309 P_FBVDDQ_VIN_S   V VIA .
$76        9.465     1.075   1  B3   (T)  #932  P_FBVDDQ_SNB_S   V VIA .
$77        9.465     0.755   1  B3   (T)  #216  P_FBVDDQ_DL_30   V VIA .
$78        9.520     0.680   2  B3   (T)  #1427 P_FBVDDQ_CS_10   V VIA .
$79        9.450     0.670   2  B3   (T)  #982  P_FBVDDQ_VDD_10  V VIA .
$80        9.435     0.600   2  B3   (T)  #1647 P_FBVDDQ_EN_10   V VIA .
$81        9.480     0.375   1  B4   (T)  #1419 DGPU_FBVDDQ_EN   V VIA .
$82        9.655     0.660   2  B3   (T)  #1885 P_FBVDDQ_DH_30   V VIA .
$83        9.710     0.725   1  B3   (T)  #931  P_FBVDDQ_LX_30   V VIA .
$84        9.790     1.065   1  B3   (T)  #1827 P_FBVDDQ_DHR_30  V VIA .
$85       10.073     0.612   1  B3   (T)  #1265 +3VS1_PIN16      V VIA .
$86       10.096     0.525   1  B3   (T)  #359  U5101_TSET       V VIA .
$87       10.080     0.435   1  B4   (T)  #288  REXT             V VIA .
$88       10.365     0.660   1  B3   (T)  #1276 MSATA_NC0        V VIA .
$89       10.345     0.555   1  B3   (T)  #357  BP0              V VIA .
$90       10.325     0.360   1  B4   (T)  #1266 +3VS1_PIN6       V VIA .
$91       10.076     0.176   1  B4   (T)  #783  Q5101_GATE       V VIA .
$92       10.285     0.070   1  B4   (T)  #74   SATA_ODD_DA#_R   V VIA .
$93        9.985    -0.420   3  B4   (T)  #249  P_CHG_IOUT_10    V VIA .
$94        9.930    -0.449   3  B4   (T)  #739  P_CHG_ACDET_10   V VIA .
$95        9.840    -0.420   1  B4   (T)  #746  P_CHG_CMSRC_20   V VIA .
$96        9.925    -0.650   1  B4   (T)  #748  P_CHG_ILIM_10    V VIA .
$97        9.811    -0.609   3  B4   (T)  #744  P_CHG_BATDRV_20  V VIA .
$98        9.780    -0.660   3  B4   (T)  #752  P_CHG_SRN_10     V VIA .
