 N750JV-R21

 Parts List              0/2482 Selected Parts             24-Jun-2013 16:48
                                                          INCH units

Part     X       Y     Rot  Grid  T/B 'Device', 'Outline'

PU8000                   4.978     4.285  180.0  E1   (B)  'NBS_QFN_36P_4V_000', 'NBS_QFN_36P_4V_000'
PU8001                   4.070     4.035  270.0  E1   (T)  'NBS_DFN_8P_030', 'NBS_DFN_8P_030'
PU8100                   6.978     4.220    0.0  D1   (B)  'NBS_QFN_20P_2V_000', 'NBS_QFN_20P_2V_000'
PU8200                   3.748     0.525  180.0  E3   (T)  'NBS_QFN_20P_2V_000', 'NBS_QFN_20P_2V_000'
PU8300                   3.128     1.490    0.0  F3   (T)  'NBS_QFN_20P_2V_000', 'NBS_QFN_20P_2V_000'
PU8400                   2.743     1.628   90.0  F3   (T)  'NBS_DFN_10P_2V_000', 'NBS_DFN_10P_2V_000'
PU8501                   7.828     3.280  180.0  C2   (T)  'NBS_QFN_24P_4V_002', 'NBS_QFN_24P_4V_002'
PU8601                   1.325     1.295  180.0  G3   (B)  'NBS_SOT23_5P_002', 'NBS_SOT23_5P_002'
PU8700                   9.518     0.613    0.0  B3   (B)  'NBS_QFN_20P_2V_000', 'NBS_QFN_20P_2V_000'
PU8800                   9.788    -0.545  180.0  B4   (B)  'NBS_QFN_20P_4V_003', 'NBS_QFN_20P_4V_003'
PU9000                   7.790    -0.535   90.0  C4   (B)  'NBS_DFN_8P_021', 'NBS_DFN_8P_021'
PU9001                   8.880    -0.030   90.0  B4   (T)  'NBS_SC70_6P_002', 'NBS_SC70_6P_002'
U0301                    5.315     2.679    0.0  D2   (B)  'NBS_BGA_1364P_000', 'NBS_BGA_1364P_000'
U0303                    4.288     2.651  270.0  E2   (T)  'NBS_SOT353_5P_001', 'NBS_SOT353_5P_001'
U2001                    2.465     0.683   90.0  F3   (T)  'NBS_BGA_695P_000', 'NBS_BGA_695P_000'
U2301                    3.370     0.015   90.0  F4   (T)  'NBS_SOT353_5P_001', 'NBS_SOT353_5P_001'
U2801                    3.085     0.000  270.0  F4   (B)  'NBS_SOIC_8P_021', 'NBS_SOIC_8P_021'
U3001                    4.665     0.000  270.0  E4   (T)  'NBS_QFP_128P_002', 'NBS_QFP_128P_002'
U3301                    1.520     4.185  180.0  G1   (T)  'NBS_QFN_32P_1V_009', 'NBS_QFN_32P_1V_009'
U3401                    1.009     3.705   90.0  G2   (B)  'NBS_TRANS_24P_002', 'NBS_TRANS_24P_002'
U3402                    1.233     3.838  270.0  G1   (T)  'NBS_DFN_9P_000C', 'NBS_DFN_9P_000C'
U3403                    1.220     3.680  270.0  G2   (T)  'NBS_DFN_9P_000C', 'NBS_DFN_9P_000C'
U3601                    5.723    -0.540  180.0  D4   (B)  'NBS_QFN_48P_1V_011', 'NBS_QFN_48P_1V_011'
U4201                    0.255     0.060   90.0  G4   (B)  'NBS_QFN_32P_1V_009', 'NBS_QFN_32P_1V_009'
U4501                    0.688     2.895   90.0  G2   (T)  'NBS_SOT23_5P_002', 'NBS_SOT23_5P_002'
U4502                    1.060     1.948   90.0  G3   (T)  'NBS_SOT353_5P_001', 'NBS_SOT353_5P_001'
U4601                    1.260     2.655  270.0  G2   (T)  'NBS_QFN_48P_1V_032', 'NBS_QFN_48P_1V_032'
U4701                    0.468     2.418   90.0  G2   (T)  'NBS_DFN_9P_000C', 'NBS_DFN_9P_000C'
U4702                    0.470     2.580  270.0  G2   (T)  'NBS_DFN_9P_000C', 'NBS_DFN_9P_000C'
U4703                    0.470     2.530   90.0  G2   (B)  'NBS_DFN_9P_000C', 'NBS_DFN_9P_000C'
U4801                    0.555     3.070   90.0  G2   (T)  'NBS_DFN_9P_000C', 'NBS_DFN_9P_000C'
U4802                    0.555     3.203   90.0  G2   (T)  'NBS_DFN_9P_000C', 'NBS_DFN_9P_000C'
U5003                    6.299     2.407  270.0  D2   (B)  'NBS_SOT23_5P_003', 'NBS_SOT23_5P_003'
U5102                   10.213     0.555  180.0  B3   (T)  'NBS_QFN_20P_1V_004', 'NBS_QFN_20P_1V_004'
U5201                    1.065     0.908   90.0  G3   (B)  'NBS_QFN_16P_1V_004', 'NBS_QFN_16P_1V_004'
U5202                    0.648     1.710   90.0  G3   (T)  'NBS_DFN_9P_000C', 'NBS_DFN_9P_000C'
U5203                    0.655     0.918   90.0  G3   (T)  'NBS_DFN_9P_000C', 'NBS_DFN_9P_000C'
U6501                   11.615     2.705    0.0  A2   (T)  'NBS_SOIC_8P_017', 'NBS_SOIC_8P_017'
U6502                   11.795     2.952  180.0  A2   (T)  'NBS_SOT23_5P_004', 'NBS_SOT23_5P_004'
U6503                   11.651     3.074    0.0  A2   (B)  'NBS_SOIC_28P_1V_001', 'NBS_SOIC_28P_1V_001'
U6802                    7.424     2.120  270.0  C3   (B)  'NBS_EMI_SPRING_1P_052', 'NBS_EMI_SPRING_1P_052'
U7001                    7.609     1.128  180.0  C3   (B)  'NBS_BGA_908P_000', 'NBS_BGA_908P_000'
U7002                    6.605     1.450  270.0  D3   (T)  'NBS_SOT353_5P_001', 'NBS_SOT353_5P_001'
U7003                    6.258     0.170  270.0  D4   (T)  'NBS_SOT353_5P_001', 'NBS_SOT353_5P_001'
U7201                    8.895     0.538    0.0  B3   (T)  'NBS_BGA_96P_003C', 'NBS_BGA_96P_003C'
U7202                    8.895     1.303  180.0  B3   (T)  'NBS_BGA_96P_003C', 'NBS_BGA_96P_003C'
U7203                    8.895     0.538  180.0  B3   (B)  'NBS_BGA_96P_003C', 'NBS_BGA_96P_003C'
U7204                    8.895     1.303    0.0  B3   (B)  'NBS_BGA_96P_003C', 'NBS_BGA_96P_003C'
U7301                    7.260     0.013   90.0  C4   (B)  'NBS_BGA_96P_003C', 'NBS_BGA_96P_003C'
U7302                    8.025     0.013  270.0  C4   (B)  'NBS_BGA_96P_003C', 'NBS_BGA_96P_003C'
U7303                    7.260     0.013   90.0  C4   (T)  'NBS_BGA_96P_003C', 'NBS_BGA_96P_003C'
U7304                    8.025     0.013  270.0  C4   (T)  'NBS_BGA_96P_003C', 'NBS_BGA_96P_003C'
U7501                    6.745     0.105  270.0  D4   (T)  'NBS_SOT353_5P_001', 'NBS_SOT353_5P_001'
J0301                    3.895     2.846  270.0  E2   (T)  'NBS_FPC_6P_001C', 'NBS_FPC_6P_001C'
J1601                    5.156     1.201   90.0  E3   (B)  'NBS_DDR3_204P_004C', 'NBS_DDR3_204P_004C'
J1701                    5.156     0.689   90.0  E3   (B)  'NBS_DDR3_204P_008C', 'NBS_DDR3_204P_008C'
J3102                    3.802    -0.829    0.0  E4   (B)  'NBS_FPC_40P_001C', 'NBS_FPC_40P_001C'
J3401                    0.200     4.120  180.0  G1   (B)  'NBS_LAN_JACK_8P_022', 'NBS_LAN_JACK_8P_022'
J4201                    0.228     0.021   90.0  G4   (T)  'NBS_CR_SOCKET_9P_000', 'NBS_CR_SOCKET_9P_000'
J4501                    0.810     2.506  270.0  G2   (B)  'NBS_WTOB_40P_003', 'NBS_WTOB_40P_003'
J4701                    0.247     2.525  180.0  G2   (B)  'NBS_COMBO_CON_20P_000', 'NBS_COMBO_CON_20P_000'
J4801                    0.166     3.242  180.0  G2   (B)  'NBS_HDMI_19P_024', 'NBS_HDMI_19P_024'
J5001                    1.341     2.033  270.0  G3   (B)  'WTOB_4P_39_2HOLD_ACES', 'WTOB_4P_39_2HOLD_ACES'
J5002                   10.436     1.994   90.0  B3   (B)  'WTOB_4P_39_2HOLD_ACES', 'WTOB_4P_39_2HOLD_ACES'
J5101                   10.231     0.971  270.0  B3   (B)  'NBS_FPC_16P_002', 'NBS_FPC_16P_002'
J5102                   10.474    -0.122   90.0  B4   (B)  'NBS_SATA_13P_002', 'NBS_SATA_13P_002'
J5103                    0.849     0.416    0.0  G4   (B)  'NBS_FPC_16P_002C', 'NBS_FPC_16P_002C'
J5104                    2.089     1.335   90.0  F3   (B)  'NBS_MINI_PCI_52P_006C', 'NBS_MINI_PCI_52P_006C'
J5201                    0.319     1.033   90.0  G3   (B)  'NBS_USB_9P_046', 'NBS_USB_9P_046'
J5202                    0.319     1.821   90.0  G3   (B)  'NBS_USB_9P_046', 'NBS_USB_9P_046'
J5301                   10.974     3.923  180.0  A1   (B)  'NB_MINI_PCI_52P_4HD_MO_H315', 'NB_MINI_PCI_52P_4HD_MO_H315'
J5401                    1.048     1.510    0.0  G3   (B)  'WTOB_8P_39_NB', 'WTOB_8P_39_NB'
J5601                   11.615     4.854  270.0  A1   (T)  'NBS_SOT23_3P_013', 'NBS_SOT23_3P_013'
J5901                    5.692    -0.821    0.0  D4   (B)  'NBS_FPC_40P_006', 'NBS_FPC_40P_006'
J5902                   12.164     4.632   90.0  A1   (B)  'WTOB_12P_39_2HOLD_RA', 'WTOB_12P_39_2HOLD_RA'
J6002                    0.214     4.878   90.0  G1   (T)  'NB_DC_PWR_3P_2HOLD_LF2', 'NB_DC_PWR_3P_2HOLD_LF2'
J6401                   11.708     3.207    0.0  A2   (T)  'WTOB_12P_39_2HOLD_RA', 'WTOB_12P_39_2HOLD_RA'
J6501                   11.843     1.380  180.0  A3   (B)  'NBS_PHONE_JACK_6P_020', 'NBS_PHONE_JACK_6P_020'
J6701                   11.424     0.155    0.0  A4   (T)  'NBS_FPC_40P_001C', 'NBS_FPC_40P_001C'
J6702                   11.398    -0.248  270.0  A4   (T)  'NBS_FPC_16P_002C', 'NBS_FPC_16P_002C'
J6703                   11.477     0.922    0.0  A3   (T)  'NBS_FPC_24P_008C', 'NBS_FPC_24P_008C'
J6704                   11.550    -0.557  270.0  A4   (T)  'FPC_CON_4P_20_2HOLD_RA_ACES', 'FPC_CON_4P_20_2HOLD_RA_ACES'
JDEBUG1                  4.026     0.190  270.0  E4   (T)  'NBS_FPC_12P_006C', 'NBS_FPC_12P_006C'
JP2601                   1.588     0.868    0.0  G3   (B)  'NBS_1MM_OPEN_5MIL_000', 'NBS_1MM_OPEN_5MIL_000'
JP2602                   1.633     0.693    0.0  G3   (T)  'NBS_1MM_OPEN_5MIL_000', 'NBS_1MM_OPEN_5MIL_000'
JP2603                   3.055     0.579    0.0  F3   (B)  'NBS_1MM_OPEN_5MIL_000', 'NBS_1MM_OPEN_5MIL_000'
JP3301                   1.748     4.015   90.0  F1   (T)  'NBS_1MM_OPEN_5MIL_000', 'NBS_1MM_OPEN_5MIL_000'
JP4501                   0.723     1.878  270.0  G3   (B)  'NBS_1MM_OPEN_5MIL_000', 'NBS_1MM_OPEN_5MIL_000'
JP4801                   1.158     3.208  180.0  G2   (B)  'NBS_1MM_OPEN_5MIL_000', 'NBS_1MM_OPEN_5MIL_000'
JRST2001                 3.993     0.063  180.0  E4   (B)  'NB_OPEN2_5MIL_PT', 'NB_OPEN2_5MIL_PT'
JRST2002                 3.993    -0.005  180.0  E4   (B)  'NB_OPEN2_5MIL_PT', 'NB_OPEN2_5MIL_PT'
PJ6001                   8.767    -0.582  180.0  B4   (B)  'NBS_BATT_7P_002', 'NBS_BATT_7P_002'
PJ8001                   4.973     4.165  270.0  E1   (T)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8002                   5.675     3.885  270.0  D1   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8008                   5.680     3.750   90.0  D2   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8009                   4.435     3.773   90.0  E2   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8010                   4.435     3.883  270.0  E1   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8011                   6.138     3.750   90.0  D2   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8012                   6.135     3.885  270.0  D1   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8100                   6.643     4.110    0.0  D1   (T)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8103                   7.673     4.598  180.0  C1   (T)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8202                   3.625     0.155  180.0  E4   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8301                   3.713     1.820   90.0  E3   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8303                   4.623     1.943  270.0  E3   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8400                   2.983     1.318   90.0  F3   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8504                   7.465     2.792    0.0  C2   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
