 RAINS-DIS_HR_HPC-MV_FINAL        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Board Outline Contour             INCH units               10-Jan-2011 9:00

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

    0.920      -3.780       0.000
    0.920      -4.260       0.000 
    0.920      -5.100       0.000
    0.920      -5.130       0.000
   -1.620      -5.130       0.000
   -6.670      -5.130       0.000
   -6.670      -3.780       0.000
   -6.670      -2.760       0.000
   -6.670      -2.740       0.000
   -6.990      -2.740       0.000
   -6.990      -2.630       0.000
   -6.990      -2.530       0.000
   -6.740      -2.530       0.000
   -6.740      -1.330       0.000
   -8.040      -1.330       0.000
   -9.260      -1.330       0.000
   -9.260      -1.770       0.000
   -11.540     -1.770       0.000
   -11.540     -0.670       0.000
   -10.040     -0.670       0.000
   -10.040      0.120       0.000
   -8.860       0.120       0.000
   -6.770       0.120       0.000
   -6.770       0.200       0.000
   -6.390       0.180       0.000
   -4.670       0.180       0.000
   -4.260       0.180       0.000
   -0.930       0.180       0.000
   -0.930      -0.300       0.000
   -0.650      -0.300       0.000
   -0.650      -0.680       0.000
   -0.170      -0.680       0.000
   -0.170      -0.810       0.000
    0.150      -0.810       0.000
    0.260      -0.810       0.000
    0.260      -0.960       0.000
    0.260      -1.140       0.000
    0.920      -1.140       0.000
    1.170      -1.140       0.000
    1.170      -1.850       0.000
    1.170      -2.980       0.000
    1.170      -3.570       0.000
    1.170      -3.780       0.000
    0.940      -3.780       0.000
    0.920      -3.780       0.000
    
  
