 RAINS-DIS_HR_HPC-MV_FINAL        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails    1481/9123 Selected Drills           9-Jan-2011 9:36
                       1481 Nails, 2670 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via

$1        -0.606    -2.710   1  A3   (B)  #6    GND              V VIA .
$1        -7.812    -0.320   1  G1   (B)  #6    GND              V VIA .
$1        -5.597     0.058   1  E1   (B)  #6    GND              V VIA .
$1        -2.510    -4.725   1  C4   (B)  #6    GND              V VIA .
$1        -3.178    -2.625   1  C3   (T)  #6    GND              V VIA .
$1        -0.911    -0.655   1  A1   (T)  #6    GND              V VIA .
$1        -4.176    -4.598   1  D4   (T)  #6    GND              V VIA .
$1        -4.282    -2.502   1  D3   (T)  #6    GND              V VIA .
$1        -6.248    -3.461   1  E3   (T)  #6    GND              V VIA .
$1        -5.800    -2.561   1  E3   (T)  #6    GND              V VIA .
$2        -8.005    -0.911   1  G1   (T)  #198  DC+              V VIA .
$2        -7.963    -0.819   1  G1   (T)  #198  DC+              V VIA .
$2        -8.107    -0.726   1  G1   (T)  #198  DC+              V PIN TP3501.1
$3        -7.290    -0.951   1  F1   (T)  #199  DCIN             V VIA .
$4        -3.035    -2.570   1  C3   (B)  #5    DCBATOUT         V VIA .
$5        -5.816    -4.410   3  E4   (T)  #197  BT+              V VIA .
$6        -3.584    -3.855   3  C4   (T)  #923  +12VSYS          V VIA .
$7        -9.082    -0.836   1  H1   (B)  #922  +12VALW          V VIA .
$8        -9.339    -1.352   1  H2   (T)  #594  +VCC_USB1        V VIA .
$9        -6.253    -3.593   1  F3   (T)  #342  +5VRUN           V VIA .
$10       -8.526    -1.135   1  G1   (T)  #1310 +5VODD           V VIA .
$11       -8.754    -0.174   1  H1   (T)  #435  +5VALWP          V VIA .
$12       -3.203    -1.063   1  C1   (T)  #7    +5VALW           V VIA .
$13       -0.286    -4.663   3  A4   (T)  #142  VDD              V VIA .
$14       -0.657    -2.290   1  A2   (T)  #1647 VCCRTC           V VIA .
$15       -2.199    -0.435   3  B1   (T)  #1348 LCDVCC           V VIA .
$16      -11.365    -1.424   1  J2   (T)  #608  +ECVCC           V VIA .
$17       -9.987    -1.256   1  H2   (T)  #610  +AVDD            V VIA .
$18       -1.967    -2.243   1  B2   (T)  #491  +3VSUS           V VIA .
$19       -6.476    -2.792   1  F3   (T)  #77   +3VRUN           V VIA .
$20       -9.543    -0.366   1  H1   (T)  #10   +3VALW           V VIA .
$21       -6.560    -1.463   1  F2   (B)  #106  +3V_WLAN         V VIA .
$22       -2.484    -3.523   1  B3   (T)  #171  +3V_DELAY        V VIA .
$23      -10.630    -1.534   1  I2   (T)  #580  +3V_CAM          V VIA .
$24       -3.072    -1.384   1  C2   (T)  #771  +1.8VRUN         V VIA .
$25       -1.129    -0.713   1  A1   (T)  #622  +1.8VGPU         V VIA .
$26       -6.618    -1.841   1  F2   (B)  #105  +1_5V_WLAN       V VIA .
$27        0.858    -4.292   1  A4   (B)  #493  +1.5VSUS         V VIA .
$28       -2.113    -0.886   1  B1   (T)  #1652 +1.5VRUN         V VIA .
$29       -3.892    -0.916   1  D1   (T)  #587  +1.05VRUNP       V VIA .
$30       -6.522    -0.270   1  F1   (T)  #589  +1.05VRUN        V VIA .
$31       -2.976    -3.939   1  C4   (T)  #94   VDD_CORE         V VIA .
$32       -5.570    -0.557   1  E1   (T)  #351  +VCORE           V VIA .
$33       -6.817    -1.124   1  F1   (T)  #354  +GFXCORE         V VIA .
$34       -2.622    -3.003   1  C3   (T)  #776  +1_0VPEG         V VIA .
$35       -4.043    -0.397   1  D1   (T)  #773  +VCCSAP          V VIA .
$36       -6.284    -3.075   1  F3   (T)  #765  +0.75VRUN        V VIA .
$65       -0.580    -1.055   3  A1   (T)  #1452 PCIE_REFCLK      V VIA .
$66       -1.510    -3.031   1  B3   (T)  #377  TXP6             V VIA .
$67       -1.596    -2.867   3  B3   (T)  #359  TXN7             V VIA .
$68       -1.634    -2.826   3  B3   (T)  #375  TXN2             V VIA .
$69       -1.685    -2.824   3  B3   (T)  #387  TXP2             V VIA .
$70       -1.630    -2.770   3  B3   (T)  #357  TXP7             V VIA .
$71       -1.513    -2.761   3  B3   (T)  #379  TXN6             V VIA .
$72       -1.570    -2.749   3  B3   (T)  #373  TXN4             V VIA .
$73       -1.617    -2.719   3  B3   (T)  #383  TXP4             V VIA .
$74       -1.906    -2.610   3  B3   (T)  #361  TXP0             V VIA .
$75       -1.938    -2.649   3  B3   (T)  #385  TXN0             V VIA .
$76       -1.893    -2.716   3  B3   (T)  #381  TXN3             V VIA .
$77       -1.843    -2.715   3  B3   (T)  #367  TXP3             V VIA .
$78       -1.776    -2.712   3  B3   (T)  #363  TXN5             V VIA .
$79       -1.729    -2.738   3  B3   (T)  #365  TXP5             V VIA .
$80       -1.753    -2.783   3  B3   (T)  #371  TXN1             V VIA .
$81       -1.801    -2.770   3  B3   (T)  #369  TXP1             V VIA .
$82       -1.747    -3.118   1  B3   (T)  #1450 N134861861       V VIA .
$83       -1.643    -3.186   1  B3   (T)  #931  N134861959       V VIA .
$97       -0.733    -1.392   1  A2   (T)  #1922 CLK_DMI_CLK      V VIA .
$98       -0.364    -2.026   1  A2   (T)  #1997 N74345525        V PIN TP80.1
$99       -0.321    -2.191   3  A2   (T)  #1897 CLK_PCI_KBC      V VIA .
$100      -0.671    -1.224   2  A1   (T)  #1882 DMI_COMP         V VIA .
$101      -0.710    -1.283   2  A2   (T)  #1923 CLK_DMI_CLK#     V VIA .
$102      -0.783    -1.285   2  A2   (T)  #1766 CLK_DMI_PCH#     V VIA .
$103      -0.798    -1.156   3  A1   (T)  #1765 CLK_DMI_PCH      V VIA .
$104      -0.950    -1.076   3  A1   (T)  #1939 CLK_DP_N         V PIN TP100.1
$105      -1.027    -1.076   1  A1   (T)  #1940 CLK_DP_P         V PIN TP101.1
$106      -0.983    -1.310   3  A2   (T)  #1572 FDI_FSYNC1       V VIA .
$107      -1.001    -1.379   2  A2   (T)  #1573 FDI_LSYNC1       V VIA .
$108      -1.077    -1.485   3  A2   (T)  #1732 SATA_TXN0        V VIA .
$109      -1.124    -1.505   3  A2   (T)  #1731 SATA_TXP0        V VIA .
$110      -1.151    -1.564   3  A2   (T)  #1775 CLK_PCIE_SATA    V VIA .
$111      -1.098    -1.562   3  A2   (T)  #1774 CLK_PCIE_SATA#   V VIA .
$112      -0.928    -1.529   2  A2   (T)  #1563 FDI_LSYNC0       V VIA .
$113      -0.878    -1.614   1  A2   (T)  #1949 N172234805       T PIN TP107.1
$114      -0.962    -1.674   1  A2   (T)  #1950 N172242772       V PIN TP108.1
$115      -0.952    -1.811   3  A2   (T)  #1883 SATA_COMP        V VIA .
$116      -1.107    -2.089   3  A2   (T)  #1886 JTAG_TCK_BUF     V PIN TP90.1
$117      -1.227    -2.190   1  A2   (T)  #927  JTAG_TDI         V VIA .
$118      -1.355    -2.130   3  B2   (T)  #1691 GPIO37           V VIA .
$119      -0.877    -4.744   3  A4   (T)  #1704 LAN_RXP6         V VIA .
$120      -0.876    -4.794   3  A4   (T)  #1705 LAN_RXN6         V VIA .
$121      -4.942    -1.371   1  D2   (T)  #1562 FDI_FSYNC0       V VIA .
$122      -8.870    -0.458   3  H1   (T)  #1735 SATA_RXP3        V VIA .
$123      -8.871    -0.306   3  H1   (T)  #1738 SATA_TXP3        V VIA .
$124      -8.870    -0.357   3  H1   (T)  #1737 SATA_TXN3        V VIA .
$125      -8.870    -0.407   3  H1   (T)  #1736 SATA_RXN3        V VIA .
$129      -1.019    -1.271   3  A2   (T)  #1871 PM_THRMTRIP#_R   V VIA .
$130      -0.901    -1.258   1  A2   (T)  #26   H_PECI_R         V VIA .
$161      -1.498    -3.231   1  B3   (T)  #1502 N134903658       V VIA .
$162      -1.477    -3.640   1  B3   (T)  #1500 N134903165       V VIA .
$163      -2.011    -3.795   1  B4   (T)  #1507 MEM_RST#1        V VIA .
$164      -1.467    -3.996   1  B4   (T)  #1503 N134903395       V VIA .
$193      -0.214    -2.046   1  A2   (T)  #1876 L_CTRL_DATA      V VIA .
$194      -0.212    -1.948   1  A2   (T)  #1875 L_CTRL_CLK       V VIA .
$195      -1.540    -0.522   3  B1   (T)  #565  IGPU_LVDSA_CLK#  V VIA .
$196      -1.591    -0.522   3  B1   (T)  #566  IGPU_LVDSA_CLK   V VIA .
$197      -1.669    -0.429   3  B1   (T)  #569  IGPU_LVDSA_DATA#1 V VIA .
$198      -1.720    -0.429   3  B1   (T)  #570  IGPU_LVDSA_DATA1 V VIA .
$199      -1.771    -0.429   3  B1   (T)  #571  IGPU_LVDSA_DATA#2 V VIA .
$200      -1.822    -0.429   3  B1   (T)  #572  IGPU_LVDSA_DATA2 V VIA .
$201      -1.881    -0.391   3  B1   (T)  #574  IGPU_DDC2DATA    V VIA .
$202      -1.881    -0.340   3  B1   (T)  #573  IGPU_DDC2CLK     V VIA .
$203      -2.134    -0.581   1  B1   (T)  #1812 GM_BRADJ         V VIA .
$204      -1.740    -0.721   3  B1   (T)  #1813 GM_LCDVCC_EN     V VIA .
$205      -1.792    -0.590   1  B1   (T)  #1810 GM_INV_EN        V VIA .
$206      -1.711    -0.522   3  B1   (T)  #568  IGPU_LVDSA_DATA0 V VIA .
$207      -1.676    -0.559   3  B1   (T)  #567  IGPU_LVDSA_DATA#0 V VIA .
$225       0.799    -1.430   1  A2   (T)  #503  J_RED              PIN CN34.1
$226       0.799    -1.520   1  A2   (T)  #508  J_GREEN            PIN CN34.2
$227       0.799    -1.610   1  A2   (T)  #509  J_BLUE             PIN CN34.3
$228       0.685    -1.607   3  A2   (T)  #505  HSYNC13_R        V VIA .
$229       0.707    -1.659   3  A2   (T)  #510  ICT_TEST         V VIA .
$230       0.707    -1.735   1  A2   (T)  #506  VSYNC14_R        V VIA .
$231       0.697    -1.820   1  A2   (T)  #1664 D_SHIFT_+5VRUN   V VIA .
$232       0.738    -1.896   1  A2   (T)  #507  CRT_DDCCLK       V VIA .
$233       0.637    -1.971   3  A2   (T)  #504  CRT_DDCDATA      V VIA .
$234      -0.275    -5.047   1  A5   (T)  #125  SD_CD#           V VIA .
$235      -0.311    -4.980   3  A4   (T)  #538  EVDD1            V VIA .
$236      -0.272    -4.940   3  A4   (T)  #133  SD_WP            V VIA .
$237      -0.277    -4.868   1  A4   (T)  #1708 CR_RXP8          V VIA .
$238      -0.442    -4.808   1  A4   (T)  #561  REGOUT           V VIA .
$239      -0.603    -4.841   1  A4   (T)  #63   ENSWREG          V VIA .
$240      -0.705    -4.809   1  A4   (T)  #544  ISOLATEB         V VIA .
$241      -0.326    -4.697   3  A4   (T)  #539  GPO              V VIA .
$242      -0.308    -4.615   3  A4   (T)  #533  XTAL1            V VIA .
$243      -0.322    -4.566   3  A4   (T)  #534  XTAL2            V VIA .
$244      -0.481    -4.498   1  A4   (T)  #552  MDI0+            V VIA .
$245      -0.593    -4.477   1  A4   (T)  #554  MDI2+            V VIA .
$246      -0.745    -4.605   1  A4   (T)  #535  CLK_REQ_LAN#     V VIA .
$247      -0.786    -4.681   2  A4   (T)  #556  CLK_PCIE_LAN#    V VIA .
$248      -0.834    -4.641   3  A4   (T)  #541  LAN_TXP6         V VIA .
$249      -0.844    -4.530   1  A4   (T)  #559  SMBCLK           V VIA .
$250      -0.781    -4.240   1  A4   (T)  #1048 VREFD2_MA1       V VIA .
$251      -0.617    -4.239   1  A4   (T)  #1054 N66393218        V VIA .
$252      -0.606    -4.411   3  A4   (T)  #555  MDI3+            V VIA .
$253      -0.488    -4.432   3  A4   (T)  #553  MDI1+            V VIA .
$254      -0.441    -4.407   3  A4   (T)  #1740 XTALO_R          V VIA .
$255      -0.449    -4.243   1  A4   (T)  #1046 VREFC_MA1        V VIA .
$256      -0.342    -4.239   1  A4   (T)  #1042 N67228353        V VIA .
$257      -0.259    -3.950   1  A4   (T)  #1047 VREFD1_MA1       V VIA .
$258      -0.053    -3.841   1  A4   (T)  #80   PCH_DDC3DATA     V VIA .
$259      -0.014    -3.674   3  A3   (T)  #78   PCH_DDC3CLK      V VIA .
$260       0.038    -3.638   3  A3   (T)  #1747 +5VRUN_F         V VIA .
$261       0.127    -3.599   3  A3   (T)  #524  OP_P             V VIA .
$262       0.173    -3.555   3  A3   (T)  #523  TMDS_TX0N        V VIA .
$263       0.080    -3.507   3  A3   (T)  #1662 TMDS_DATA0_C     V VIA .
$264       0.043    -3.541   3  A3   (T)  #1663 TMDS_DATA0#_C    V VIA .
$265      -0.052    -3.471   1  A3   (T)  #1796 DGPU_HPD_INTR#   V VIA .
$266      -0.003    -3.357   3  A3   (T)  #1657 TMDS_CLK#_C      V VIA .
$267       0.030    -3.318   3  A3   (T)  #1659 TMDS_CLK_C       V VIA .
$268      -0.012    -3.231   3  A3   (T)  #1656 TMDS_DATA1#_C    V VIA .
$269       0.024    -3.196   3  A3   (T)  #1658 TMDS_DATA1_C     V VIA .
$270       0.101    -3.188   3  A3   (T)  #1660 TMDS_DATA2#_C    V VIA .
$271       0.101    -3.137   3  A3   (T)  #1661 TMDS_DATA2_C     V VIA .
$272       0.209    -3.124   3  A3   (T)  #531  TMDS_TX2P        V VIA .
$273       0.262    -3.160   3  A3   (T)  #530  TMDS_TX2N        V VIA .
$274       0.179    -3.255   3  A3   (T)  #529  TMDS_TX1P        V VIA .
$275       0.178    -3.305   3  A3   (T)  #528  TMDS_TX1N        V VIA .
$276       0.209    -3.381   3  A3   (T)  #527  TMDS_CLK1P       V VIA .
$277       0.209    -3.431   3  A3   (T)  #526  TMDS_CLK1N       V VIA .
$278       0.174    -3.505   3  A3   (T)  #525  TMDS_TX0P        V VIA .
$279       0.295    -3.520   1  A3   (T)  #522  OP_N             V VIA .
$280       0.630    -3.717   1  A3   (T)  #76   HDMI_SCL         V VIA .
$281       0.559    -3.354   1  A3   (T)  #453  TMDS_TXC+          PIN CN20.10
$282       0.559    -3.276   3  A3   (T)  #450  TMDS_D1-           PIN CN20.6
$283       0.620    -3.295   3  A3   (T)  #447  TMDS_D0+           PIN CN20.7
$284       0.620    -3.177   1  A3   (T)  #451  TMDS_D2+           PIN CN20.1
$285       0.500    -3.030   1  A3   (T)  #145  GND_CHASSIS_LAN  V VIA .
$286       0.333    -2.901   1  A3   (T)  #582  N61703528        V VIA .
$287       0.425    -2.739   3  A3   (T)  #134  TRD0P_RJ45         PIN CN30.1
$288       0.468    -2.699   3  A3   (T)  #135  TRD0N_RJ45         PIN CN30.2
$289       0.425    -2.659   3  A3   (T)  #136  TRD1P_RJ45         PIN CN30.3
$290       0.468    -2.619   3  A3   (T)  #137  TRD2P_RJ45         PIN CN30.4
$291       0.425    -2.578   3  A3   (T)  #138  TRD2N_RJ45         PIN CN30.5
$292       0.468    -2.538   3  A3   (T)  #139  TRD1N_RJ45         PIN CN30.6
$293       0.425    -2.498   3  A2   (T)  #140  TRD3P_RJ45         PIN CN30.7
$294       0.468    -2.458   3  A2   (T)  #141  TRD3N_RJ45         PIN CN30.8
$295       0.168    -2.221   3  A2   (T)  #793  CLK_PCIE_CR#     V VIA .
$296       0.168    -2.170   3  A2   (T)  #794  CLK_PCIE_CR      V VIA .
$297       0.008    -2.169   1  A2   (T)  #1757 DGPU_PRSNT#      V VIA .
$298       0.076    -2.254   1  A2   (T)  #1853 CLKOUTLEX0       V PIN TP99.1
$299       0.007    -2.287   2  A2   (T)  #1891 N17376114        V PIN TP177.1
$300      -0.073    -2.301   1  A2   (T)  #20   DGPU_SELECT#     V VIA .
$301      -0.165    -2.245   3  A2   (T)  #1830 DGPU_HOLD_RST#   V VIA .
$302      -0.191    -2.298   3  A2   (T)  #1814 G_INT#           V VIA .
$303      -0.262    -2.301   2  A2   (T)  #1815 PCI_REQ#3        V VIA .
$304      -0.208    -2.414   3  A2   (T)  #1816 INT_PIRQH#       V VIA .
$305       0.014    -2.525   1  A3   (T)  #551  MDI3-            V VIA .
$306       0.017    -2.640   1  A3   (T)  #550  MDI2-            V VIA .
$307       0.023    -2.754   1  A3   (T)  #549  MDI1-            V VIA .
$308       0.142    -2.776   1  A3   (T)  #1744 N61703448        V VIA .
$309       0.023    -2.889   1  A3   (T)  #548  MDI0-            V VIA .
$310      -0.260    -2.927   1  A3   (T)  #1007 VREFD2_A0        V VIA .
$311      -0.250    -2.657   1  A3   (T)  #22   BT_OFF#_R1       V VIA .
$312      -0.205    -2.558   1  A3   (T)  #1797 CLK_33M_DEBUG    V VIA .
$313      -0.206    -2.488   3  A2   (T)  #1889 CLK_33M_DEBUG_R  V VIA .
$314      -0.245    -2.448   3  A2   (T)  #179  DGPU_PWR_EN#     V VIA .
$315      -0.351    -2.449   3  A2   (T)  #1902 IHDA_BITCLK      V VIA .
$316      -0.400    -2.460   3  A2   (T)  #1903 IHDA_RESET#      V VIA .
$317      -0.392    -2.296   1  A2   (T)  #1880 N20316278        V VIA .
$318      -0.475    -2.200   3  A2   (T)  #340  +V5S_PCH_VCC5REF V VIA .
$319      -0.529    -2.188   3  A2   (T)  #1726 +V3.3S_VCC_CLKF33 V VIA .
$320      -0.670    -2.187   1  A2   (T)  #1884 SM_INTRUDER#     V VIA .
$321      -0.455    -2.428   3  A2   (T)  #336  EXTSMI#_R        V VIA .
$322      -0.412    -2.625   1  A3   (T)  #1850 IHDA_SYNC        V VIA .
$323      -0.705    -2.656   1  A3   (T)  #341  +V5A_PCH_VCC5REFSUS V VIA .
