 RAINS-DIS_HR_HPC-MV_FINAL        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Part Pins List          0/2747 Selected Parts             10-Jan-2011 9:00
                                                           INCH units

Part        T/B
Pin   Name      X         Y     Layer  Net               Nail(s)

Part CN2    (T)

   1    1   -11.309    -1.593     1    GND               1
   2    2   -11.309    -1.573     1    GND               1
   3    3   -11.309    -1.553     1    QUICK_WEB_BUTTON#  1169
   4    4   -11.309    -1.533     1    POWER_LED_W       1411
   5    5   -11.309    -1.514     1    PWRSW#            602
   6    6   -11.309    -1.494     1    LIDIN#            920
   7    7   -11.309    -1.474     1    +5VALW            12
   8    8   -11.309    -1.455     1    +ECVCC            16
   9    9   -11.181    -1.380     1    GND               1
  10   10   -11.181    -1.667     1    GND               1

Part CN7    (T)

   1    1    -9.988    -1.388     1    +AVDD             17
   2    2    -9.969    -1.388     1    MIC_REF           1183
   3    3    -9.949    -1.388     1    MIC_R_IN_C        1185
   4    4    -9.929    -1.388     1    A_GND             1152
   5    5    -9.909    -1.388     1    SPK-R+_L          1739
   6    6    -9.890    -1.388     1    SPK-R+_L          1739
   7    7    -9.870    -1.388     1    SPK-R-_L          1740
   8    8    -9.850    -1.388     1    SPK-R-_L          1740
   9    9    -9.831    -1.388     1    SPK-L-_L          1741
  10   10    -9.811    -1.388     1    SPK-L-_L          1741
  11   11    -9.791    -1.388     1    SPK-L+_L          1742
  12   12    -9.772    -1.388     1    SPK-L+_L          1742
  13   13    -9.752    -1.388     1    A_GND             1152
  14   14    -9.732    -1.388     1    HP_R              1743
  15   15    -9.713    -1.388     1    HP_L              1744
  16   16    -9.693    -1.388     1    A_GND             1152
  17   17    -9.673    -1.388     1    GND               1
  18   18    -9.654    -1.388     1    GND               1
  19   19    -9.634    -1.388     1    GND               1
  20   20    -9.614    -1.388     1    USB_PP1           1135
  21   21    -9.594    -1.388     1    USB_PN1           1134
  22   22    -9.575    -1.388     1    GND               1
  23   23    -9.555    -1.388     1    GND               1
  24   24    -9.535    -1.388     1    COMBO_JACK_DET    1188
  25   25    -9.516    -1.388     1    HP_JACK_DET       1168
  26   26    -9.496    -1.388     1    +VCC_USB1         8
  27   27    -9.476    -1.388     1    +VCC_USB1         8
  28   28    -9.457    -1.388     1    +VCC_USB1         8
  29   29    -9.437    -1.388     1    +VCC_USB1         8
  30   30    -9.417    -1.388     1    +VCC_USB1         8
  31   31   -10.063    -1.516     1    GND               1
  32   32    -9.343    -1.516     1    GND               1

Part CN8    (T)

   1    1    -3.082    -1.727     1    +3VRUN            19
   2    2    -3.082    -1.746     1    SPI0_CLK          1603
   3    3    -3.082    -1.766     1    SPI0_MOSI         1583
   4    4    -3.082    -1.786     1    SPI0_MISO_R       1582
   5    5    -3.082    -1.805     1    SPI_ROM_CS0#      1580
   6    6    -3.082    -1.825     1    MB_FLASH0_EN      1581
   7    7    -3.082    -1.845     1    CARD_INSERT0      1579
   8    8    -3.082    -1.864     1    GND               1
   9    9    -3.082    -1.884     1    NC__2010          
  10   10    -3.082    -1.904     1    NC__2011          
  11   11    -3.082    -1.923     1    NC__2012          
  12   12    -3.082    -1.943     1    NC__2013          
  13   13    -3.210    -2.018     1    GND               1
  14   14    -3.210    -1.652     1    GND               1

Part CN14   (B)

   1    1    -3.611    -3.476     2    DQ_VREF1          584
   2    2    -3.623    -3.163     2    GND               1
   3    3    -3.635    -3.476     2    GND               1
   4    4    -3.647    -3.163     2    M_B_DQ5           628
   5    5    -3.658    -3.476     2    M_B_DQ1           616
   6    6    -3.670    -3.163     2    M_B_DQ4           627
   7    7    -3.682    -3.476     2    M_B_DQ0           615
   8    8    -3.694    -3.163     2    GND               1
   9    9    -3.706    -3.476     2    GND               1
  10   10    -3.717    -3.163     2    M_B_DQS#0         626
  11   11    -3.729    -3.476     2    GND               1
  12   12    -3.741    -3.163     2    M_B_DQS0          617
  13   13    -3.753    -3.476     2    GND               1
  14   14    -3.765    -3.163     2    GND               1
  15   15    -3.776    -3.476     2    M_B_DQ3           619
  16   16    -3.788    -3.163     2    M_B_DQ7           625
  17   17    -3.800    -3.476     2    M_B_DQ2           618
  18   18    -3.812    -3.163     2    M_B_DQ6           622
  19   19    -3.824    -3.476     2    GND               1
  20   20    -3.836    -3.163     2    GND               1
  21   21    -3.847    -3.476     2    M_B_DQ8           620
  22   22    -3.859    -3.163     2    M_B_DQ13          624
  23   23    -3.871    -3.476     2    M_B_DQ9           621
  24   24    -3.883    -3.163     2    M_B_DQ12          623
  25   25    -3.895    -3.476     2    GND               1
  26   26    -3.906    -3.163     2    GND               1
  27   27    -3.918    -3.476     2    M_B_DQS#1         849
  28   28    -3.930    -3.163     2    GND               1
  29   29    -3.942    -3.476     2    M_B_DQS1          848
  30   30    -3.954    -3.163     2    DDR3_DRAMRST#     1609
  31   31    -3.965    -3.476     2    GND               1
  32   32    -3.977    -3.163     2    GND               1
  33   33    -3.989    -3.476     2    M_B_DQ11          846
  34   34    -4.001    -3.163     2    M_B_DQ15          834
  35   35    -4.013    -3.476     2    M_B_DQ10          847
  36   36    -4.024    -3.163     2    M_B_DQ14          835
  37   37    -4.036    -3.476     2    GND               1
  38   38    -4.048    -3.163     2    GND               1
  39   39    -4.060    -3.476     2    M_B_DQ16          845
  40   40    -4.072    -3.163     2    M_B_DQ21          837
  41   41    -4.084    -3.476     2    M_B_DQ17          844
  42   42    -4.095    -3.163     2    M_B_DQ20          836
  43   43    -4.107    -3.476     2    GND               1
