 CHICAGO_HR_HPC_MV_MB_V1        FABMASTER (R)          licence #5056 MITAC COMPUTER (SHUNDE) LTD, 

 Board Outline Contour             INCH units               3-Mar-2011 15:18

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

    4.620      -3.220       0.000
    2.780      -3.220       0.000
    2.780      -4.210       0.000
    1.730      -4.210       0.000
    1.240      -4.210       0.000
    1.240      -5.860       0.000
   -2.320      -5.860       0.000
   -2.320      -7.550       0.000
   -3.370      -7.550       0.000
   -3.420      -7.550       0.000
   -3.420      -8.820       0.000
   -4.080      -8.820       0.000
   -5.800      -8.820       0.000
   -6.850      -8.820       0.000
   -6.850      -7.210       0.000
   -6.850      -5.010       0.000
   -6.850      -0.470       0.000
   -5.090      -0.470       0.000
   -5.090      -1.490       0.000
   -4.320      -1.490       0.000
   -3.630      -1.490       0.000
   -3.600      -1.490       0.000
   -2.490      -1.490       0.000
   -2.490      -1.640       0.000
   -0.060      -1.640       0.000
    3.830      -1.640       0.000
    4.620      -1.640       0.000
    4.620      -1.790       0.000
    4.620      -2.570       0.000
    4.620      -3.220       0.000  
