 CHICAGO_HR_HPC_MV_MB_V1        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails    1429/6711 Selected Drills           5-Mar-2011 8:40
                       1429 Nails, 2192 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via

$1        -2.007    -2.499   2  B2   (T)  #20   GND              V VIA .
$1        -2.082    -2.497   1  B2   (T)  #20   GND              V VIA .
$1        -1.992    -2.278   1  B2   (T)  #20   GND              V VIA .
$1        -2.064    -2.276   3  B2   (T)  #20   GND              V VIA .
$1        -2.127    -2.273   3  B2   (T)  #20   GND              V VIA .
$1        -1.409    -1.968   3  B2   (T)  #20   GND              V VIA .
$1        -1.345    -1.968   3  B2   (T)  #20   GND              V VIA .
$1        -1.278    -1.968   1  B2   (T)  #20   GND              V VIA .
$1         0.631    -1.849   1  A2   (T)  #20   GND              V VIA .
$2         3.642    -3.053   3  C3   (B)  #72   DCIN_CON         V VIA .
$2         3.693    -3.053   3  C3   (B)  #72   DCIN_CON         V VIA .
$2         3.732    -2.794   3  C3   (B)  #72   DCIN_CON         V VIA .
$3         3.855    -2.693   1  D3   (B)  #73   DCIN             V VIA .
$4        -1.854    -1.938   1  B2   (T)  #75   +VBAT            V VIA .
$5         0.805    -3.700   1  A3   (T)  #92   +V12A            V VIA .
$6        -5.998    -5.313   1  E5   (B)  #19   +VCC_USB1        V VIA .
$7         4.263    -2.532   1  D3   (T)  #89   +VCC_USB0        V VIA .
$8        -4.257    -7.859   1  D7   (B)  #94   +V5S             V VIA .
$9        -4.644    -7.196   1  D6   (T)  #1323 +V5REF           V VIA .
$10        0.929    -3.733   1  A3   (T)  #1513 +V5AL            V VIA .
$11       -1.930    -5.318   1  B5   (T)  #9    +V5A             V VIA .
$12       -4.384    -8.632   1  D7   (B)  #476  +V5S_ODD         V VIA .
$13       -5.961    -7.176   2  E6   (B)  #1382 +VDDA            V VIA .
$14       -5.482    -2.416   1  E2   (B)  #534  +VCC_WEBCAM      V VIA .
$15       -5.129    -6.927   2  E6   (T)  #1328 +VCC_RTC         V VIA .
$16       -5.543    -1.583   1  E2   (T)  #525  LCDVCC           V VIA .
$17       -4.935    -6.105   1  D5   (T)  #15   +V3.3A           V VIA .
$18       -5.416    -4.550   1  E4   (B)  #451  +V3.3S_DELAY     V VIA .
$19        1.131    -3.198   1  A3   (B)  #17   +V3.3S           V VIA .
$20        0.513    -4.117   1  A4   (T)  #1370 +V3.3AL          V VIA .
$21        2.115    -2.820   3  B3   (T)  #124  +V3.3_WLAN       V VIA .
$22       -5.978    -3.410   1  E3   (T)  #69   +V3.3_LAN        V VIA .
$23       -2.935    -4.958   1  C4   (T)  #710  +VGFX_CORE       V VIA .
$24       -4.949    -3.588   1  D3   (B)  #487  +V1.8S_GPU       V VIA .
$25       -1.260    -2.938   1  B3   (T)  #12   +V1.8S           V VIA .
$26       -4.369    -6.043   1  D5   (T)  #450  +V1.5S_GPU       V VIA .
$27        1.865    -3.016   1  B3   (T)  #123  +V1.5_WLAN       V VIA .
$28       -1.406    -3.879   1  B4   (T)  #1    +V1.5_VDDQ       V VIA .
$29        0.800    -2.934   1  A3   (T)  #5    +V1.5            V VIA .
$30       -2.476    -6.620   1  B6   (T)  #79   +V1.05S_VCCP     V VIA .
$31       -4.643    -2.952   1  D3   (B)  #87   +VDD_CORE        V VIA .
$32       -2.465    -2.286   1  B2   (T)  #1125 +VCC_CORE        V VIA .
$33       -4.369    -3.462   1  D3   (B)  #7    +VPCIE           V VIA .
$34       -2.782    -3.034   1  C3   (T)  #14   +VCCSA           V VIA .
$35        4.110    -2.417   3  D2   (T)  #196  +V2REF           V VIA .
$36        0.159    -5.582   1  A5   (T)  #3    +V0.75S          V VIA .
$65        1.795    -2.958   3  B3   (T)  #130  PCIE_RXN3        V VIA .
$66        1.796    -2.907   3  B3   (T)  #131  PCIE_RXP3        V VIA .
$67        1.836    -3.260   3  B3   (T)  #135  CLK_PCH_PCIE_MINI V VIA .
$68        1.837    -3.311   3  B3   (T)  #136  CLK_PCH_PCIE_MINI# V VIA .
$69       -3.003    -3.180   1  C3   (T)  #1079 CLK_PCH_CPU_CLK  V VIA .
$70       -2.998    -3.294   1  C3   (T)  #1007 DMI_TXN0         V VIA .
$71       -2.885    -3.250   2  C3   (T)  #1009 DMI_TXN2         V VIA .
$72       -2.763    -3.247   2  C3   (T)  #1031 FDI_TXP0         V VIA .
$73       -2.684    -3.373   2  C3   (T)  #1043 FDI_TXP6         V VIA .
$74       -2.768    -3.371   1  C3   (T)  #1018 DMI_RXN3         V VIA .
$75       -2.844    -3.330   1  C3   (T)  #1014 DMI_TXP3         V VIA .
$76       -2.803    -3.445   3  C3   (T)  #1016 DMI_RXN1         V VIA .
$77       -2.765    -3.493   3  C3   (T)  #1015 DMI_RXN0         V VIA .
$78       -3.275    -5.877   3  C5   (T)  #1182 CLK_PCH_XDP      V VIA .
$79       -3.275    -5.927   3  C5   (T)  #1181 CLK_PCH_XDP#     V VIA .
$80       -3.318    -6.540   1  C6   (T)  #1026 FDI_LSYNC0       V VIA .
$81       -4.774    -8.090   3  D7   (T)  #1184 CLK_PCH_PCIE_CR  V VIA .
$82       -4.774    -8.040   3  D7   (T)  #1183 CLK_PCH_PCIE_CR# V VIA .
$83       -4.602    -8.061   3  D7   (T)  #1160 SATA_TXN2        V VIA .
$84       -4.551    -8.060   3  D7   (T)  #1161 SATA_TXP2        V VIA .
$85       -4.442    -7.931   3  D7   (T)  #1158 SATA_RXN2        V VIA .
